p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	0.28
1	5	0.18
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.88
2	7	0.33
3	1	1.00
3	2	0.44
3	3	0.38
4	1	1.00
4	2	1.00
4	3	0.25
4	4	0.22
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	0.97
5	7	0.88
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	1.00
6	8	1.00
6	9	0.90
6	10	0.57
7	1	1.00
7	2	1.00
7	3	0.67
7	4	0.40
8	1	1.00
8	2	1.00
8	3	0.59
8	4	0.21
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	1.00
9	6	1.00
9	7	1.00
9	8	0.23
9	9	0.07
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	1.00
10	6	1.00
10	7	1.00
10	8	0.82
10	9	0.23
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	1.00
11	6	0.46
11	7	0.46
12	1	1.00
12	2	1.00
12	3	1.00
12	4	0.80
12	5	0.21
13	1	1.00
13	2	1.00
13	3	1.00
13	4	0.04
13	5	0.04
14	1	1.00
14	2	1.00
14	3	1.00
14	4	0.89
14	5	0.36
15	1	1.00
15	2	1.00
15	3	0.10
15	4	0.07
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	1.00
16	7	1.00
16	8	0.91
16	9	0.38
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	1.00
17	7	1.00
17	8	0.09
17	9	0.05
18	1	1.00
18	2	1.00
18	3	0.87
18	4	0.64
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	0.60
19	7	0.38
20	1	1.00
20	2	1.00
20	3	1.00
20	4	0.13
20	5	0.07
21	1	1.00
21	2	0.43
21	3	0.26
22	1	1.00
22	2	1.00
22	3	1.00
