p	ad_min	ad_max
1	0	0
2	0	14
3	0	0
4	0	0
5	0	22
6	0	0
7	0	22
8	0	16
9	0	14
10	0	0
11	43	43
12	17	24
13	50	50
14	44	44
15	55	55
16	48	48
17	11	11
18	28	36
19	22	22
20	54	54
21	0	0
22	1	4
23	10	10
24	23	34
25	27	27
26	17	17
27	50	50
28	12	12
29	23	27
30	20	29
31	31	31
32	36	38
33	44	44
34	16	36
35	17	32
36	15	42
37	24	24
38	45	46
39	51	53
40	2	2
41	8	17
42	50	50
43	12	16
44	37	37
45	2	8
46	7	50
47	0	36
48	16	16
49	20	39
50	34	34
51	25	34
52	52	52
53	6	6
54	28	42
55	33	33
56	42	42
57	19	34
58	35	47
59	21	30
60	46	46
61	6	12
62	47	47
63	39	39
64	0	49
65	17	43
66	50	50
67	26	26
68	17	41
69	28	28
70	0	1
71	39	39
72	24	24
73	14	14
74	15	23
75	24	24
76	20	27
77	13	28
78	12	12
79	46	46
80	20	20
81	45	45
82	46	49
83	8	8
84	27	27
85	14	33
86	44	44
87	21	21
88	40	50
89	23	23
90	52	52
91	5	24
92	14	14
93	43	44
94	37	43
95	32	47
96	37	45
97	50	50
98	19	19
99	2	2
100	26	26
101	38	47
102	41	41
103	32	40
104	11	11
105	14	14
106	10	39
107	1	36
108	55	55
109	5	5
110	0	15
111	17	42
112	31	31
113	32	47
114	43	43
115	41	41
116	48	48
117	30	30
118	48	51
119	20	20
120	25	25
121	2	2
122	20	41
123	30	30
124	7	7
125	39	39
126	9	9
127	39	44
128	54	54
129	21	21
130	18	18
131	8	9
132	41	41
133	35	35
134	32	32
135	44	47
136	7	16
137	47	52
138	7	7
139	6	14
140	49	49
141	49	49
142	50	50
143	27	27
144	54	54
145	19	28
146	51	51
147	8	17
148	17	17
149	24	24
150	25	25
151	49	49
152	12	12
153	34	34
154	44	44
155	22	22
156	6	6
157	51	54
158	32	36
159	0	36
160	36	36
161	7	40
162	4	4
163	13	35
164	11	37
165	55	55
166	25	37
167	10	10
168	30	30
169	22	24
170	49	49
171	11	11
172	16	38
173	52	52
174	45	46
175	39	49
176	48	48
177	26	26
178	52	52
179	0	0
180	36	52
181	15	15
182	39	45
183	22	41
184	13	15
185	50	53
186	32	32
187	1	1
188	12	47
189	38	38
190	1	1
191	28	36
192	15	15
193	39	39
194	13	13
195	49	49
196	4	38
197	19	47
198	24	24
199	11	21
200	13	13
