p	d	Pr(p,d)
1	1	1.00
1	2	0.77
1	3	0.53
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.37
2	7	0.24
3	1	1.00
3	2	0.92
3	3	0.45
4	1	1.00
4	2	1.00
4	3	1.00
4	4	0.11
4	5	0.10
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	0.01
5	7	0.00
6	1	1.00
6	2	1.00
6	3	1.00
6	4	0.93
6	5	0.91
7	1	1.00
7	2	0.60
7	3	0.07
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.54
8	5	0.31
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.55
9	5	0.09
10	1	1.00
10	2	1.00
10	3	1.00
10	4	0.31
10	5	0.27
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	1.00
11	6	1.00
11	7	1.00
11	8	0.03
11	9	0.01
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	0.14
12	7	0.03
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.20
13	7	0.11
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	1.00
14	7	0.98
14	8	0.45
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	0.22
15	8	0.13
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	1.00
16	7	0.03
16	8	0.01
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	0.71
17	7	0.56
18	1	1.00
18	2	1.00
18	3	0.26
18	4	0.02
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	1.00
19	9	1.00
19	10	1.00
19	11	0.73
19	12	0.69
20	1	1.00
20	2	1.00
20	3	1.00
20	4	0.53
20	5	0.14
