p	r	C_pr
1	1	80
1	2	70
1	3	50
1	4	60
1	5	80
1	6	30
1	7	20
1	8	60
2	1	60
2	2	70
2	3	50
2	4	60
2	5	60
2	6	30
2	7	20
2	8	80
3	1	50
3	2	90
3	3	70
3	4	20
3	5	70
3	6	100
3	7	110
3	8	60
4	1	60
4	2	90
4	3	70
4	4	30
4	5	60
4	6	80
4	7	70
4	8	60
5	1	60
5	2	50
5	3	50
5	4	60
5	5	80
5	6	30
5	7	40
5	8	100
6	1	60
6	2	70
6	3	50
6	4	10
6	5	60
6	6	60
6	7	50
6	8	100
7	1	60
7	2	70
7	3	50
7	4	10
7	5	80
7	6	80
7	7	100
7	8	80
8	1	60
8	2	90
8	3	70
8	4	30
8	5	80
8	6	80
8	7	100
8	8	80
9	1	80
9	2	70
9	3	50
9	4	60
9	5	80
9	6	30
9	7	30
9	8	80
10	1	50
10	2	70
10	3	50
10	4	0
10	5	70
10	6	60
10	7	70
10	8	80
11	1	70
11	2	70
11	3	50
11	4	50
11	5	70
11	6	10
11	7	0
11	8	60
12	1	50
12	2	70
12	3	70
12	4	20
12	5	70
12	6	90
12	7	110
12	8	50
13	1	80
13	2	50
13	3	50
13	4	60
13	5	80
13	6	10
13	7	10
13	8	80
14	1	60
14	2	50
14	3	50
14	4	10
14	5	60
14	6	80
14	7	70
14	8	80
15	1	50
15	2	70
15	3	70
15	4	70
15	5	50
15	6	20
15	7	20
15	8	70
16	1	60
16	2	70
16	3	70
16	4	80
16	5	80
16	6	50
16	7	60
16	8	80
17	1	60
17	2	90
17	3	70
17	4	80
17	5	80
17	6	50
17	7	70
17	8	60
18	1	50
18	2	50
18	3	50
18	4	50
18	5	70
18	6	30
18	7	40
18	8	100
19	1	70
19	2	70
19	3	50
19	4	0
19	5	90
19	6	70
19	7	90
19	8	50
20	1	50
20	2	70
20	3	70
20	4	70
20	5	70
20	6	20
20	7	40
20	8	70
21	1	60
21	2	70
21	3	50
21	4	10
21	5	80
21	6	60
21	7	70
21	8	80
22	1	80
22	2	70
22	3	50
22	4	60
22	5	80
22	6	30
22	7	30
22	8	80
23	1	70
23	2	70
23	3	50
23	4	50
23	5	90
23	6	0
23	7	20
23	8	70
24	1	70
24	2	50
24	3	50
24	4	0
24	5	90
24	6	60
24	7	70
24	8	60
25	1	50
25	2	70
25	3	70
25	4	70
25	5	70
25	6	40
25	7	60
25	8	70
26	1	70
26	2	50
26	3	50
26	4	50
26	5	90
26	6	30
26	7	40
26	8	60
27	1	60
27	2	90
27	3	70
27	4	80
27	5	80
27	6	50
27	7	60
27	8	80
28	1	80
28	2	70
28	3	50
28	4	10
28	5	100
28	6	60
28	7	70
28	8	60
29	1	50
29	2	70
29	3	70
29	4	20
29	5	70
29	6	70
29	7	90
29	8	50
30	1	80
30	2	50
30	3	50
30	4	10
30	5	80
30	6	60
30	7	60
30	8	80
31	1	70
31	2	70
31	3	50
31	4	0
31	5	90
31	6	50
31	7	70
31	8	50
32	1	80
32	2	70
32	3	50
32	4	60
32	5	80
32	6	30
32	7	20
32	8	80
33	1	80
33	2	70
33	3	50
33	4	60
33	5	80
33	6	10
33	7	10
33	8	60
34	1	60
34	2	50
34	3	50
34	4	10
34	5	60
34	6	80
34	7	80
34	8	100
35	1	50
35	2	70
35	3	70
35	4	20
35	5	50
35	6	100
35	7	90
35	8	80
36	1	60
36	2	90
36	3	70
36	4	30
36	5	80
36	6	80
36	7	100
36	8	80
37	1	80
37	2	50
37	3	50
37	4	10
37	5	100
37	6	80
37	7	90
37	8	80
38	1	60
38	2	70
38	3	50
38	4	10
38	5	80
38	6	80
38	7	90
38	8	80
39	1	60
39	2	70
39	3	70
39	4	30
39	5	80
39	6	80
39	7	90
39	8	80
40	1	60
40	2	90
40	3	70
40	4	30
40	5	80
40	6	100
40	7	120
40	8	60
41	1	50
41	2	70
41	3	70
41	4	20
41	5	50
41	6	80
41	7	70
41	8	80
42	1	50
42	2	50
42	3	50
42	4	50
42	5	70
42	6	20
42	7	40
42	8	70
43	1	70
43	2	50
43	3	50
43	4	0
43	5	90
43	6	70
43	7	90
43	8	50
44	1	70
44	2	50
44	3	50
44	4	50
44	5	90
44	6	20
44	7	40
44	8	70
45	1	80
45	2	50
45	3	50
45	4	10
45	5	80
45	6	60
45	7	60
45	8	80
46	1	60
46	2	70
46	3	50
46	4	60
46	5	80
46	6	10
46	7	20
46	8	100
47	1	50
47	2	50
47	3	50
47	4	0
47	5	50
47	6	50
47	7	50
47	8	90
48	1	50
48	2	70
48	3	50
48	4	0
48	5	70
48	6	60
48	7	70
48	8	80
49	1	50
49	2	70
49	3	70
49	4	20
49	5	70
49	6	100
49	7	110
49	8	60
50	1	80
50	2	70
50	3	50
50	4	10
50	5	80
50	6	60
50	7	60
50	8	80
51	1	50
51	2	50
51	3	50
51	4	0
51	5	50
51	6	70
51	7	70
51	8	90
52	1	50
52	2	90
52	3	70
52	4	20
52	5	50
52	6	90
52	7	90
52	8	50
53	1	70
53	2	50
53	3	50
53	4	50
53	5	70
53	6	0
53	7	0
53	8	50
54	1	50
54	2	50
54	3	50
54	4	0
54	5	70
54	6	80
54	7	90
54	8	100
