p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.51
1	4	0.27
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.46
2	6	0.35
3	1	1.00
3	2	0.91
3	3	0.86
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	0.22
4	7	0.02
5	1	1.00
5	2	0.54
5	3	0.16
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	0.99
6	7	0.29
7	1	1.00
7	2	1.00
7	3	0.71
7	4	0.38
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.92
8	5	0.47
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.01
9	5	0.01
10	1	1.00
10	2	0.15
10	3	0.09
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.72
11	5	0.66
12	1	1.00
12	2	0.15
12	3	0.09
13	1	1.00
13	2	0.69
13	3	0.33
14	1	1.00
14	2	1.00
14	3	0.23
14	4	0.02
15	1	1.00
15	2	0.27
15	3	0.07
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	0.27
16	7	0.14
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	0.48
17	7	0.07
18	1	1.00
18	2	1.00
18	3	0.86
18	4	0.77
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	0.58
19	6	0.16
20	1	1.00
20	2	0.18
20	3	0.10
21	1	1.00
21	2	1.00
21	3	0.48
21	4	0.45
22	1	1.00
22	2	1.00
22	3	0.18
22	4	0.14
23	1	1.00
23	2	1.00
23	3	0.67
23	4	0.56
24	1	1.00
24	2	1.00
24	3	0.86
24	4	0.24
25	1	1.00
25	2	0.44
25	3	0.11
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.67
26	5	0.67
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	1.00
27	6	1.00
27	7	1.00
27	8	0.44
27	9	0.20
28	1	1.00
28	2	1.00
28	3	1.00
