p	Fe	Ma
1	0	1
2	0	1
3	0	1
4	1	0
5	1	0
6	0	1
7	1	0
8	1	0
9	1	0
10	0	1
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	0	1
17	0	1
18	0	1
19	1	0
20	1	0
21	1	0
22	0	1
23	0	1
24	1	0
25	0	1
26	0	1
27	1	0
28	1	0
29	0	1
30	0	1
31	1	0
32	1	0
33	1	0
34	0	1
35	1	0
36	1	0
37	0	1
38	1	0
39	0	1
40	1	0
41	1	0
42	0	1
43	0	1
44	0	1
45	1	0
46	0	1
47	1	0
48	0	1
49	0	1
50	0	1
51	0	1
52	1	0
53	1	0
54	1	0
55	0	1
56	0	1
57	0	1
58	0	1
59	1	0
60	1	0
61	1	0
62	0	1
63	0	1
64	1	0
65	0	1
66	1	0
67	0	1
68	0	1
69	0	1
70	0	1
71	1	0
72	1	0
73	0	1
74	1	0
75	1	0
76	0	1
77	1	0
78	0	1
79	0	1
80	0	1
81	1	0
82	0	1
83	0	1
84	0	1
85	0	1
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	0	1
92	1	0
93	0	1
94	0	1
95	1	0
96	0	1
97	1	0
98	1	0
99	1	0
100	0	1
101	0	1
102	1	0
103	0	1
104	1	0
105	0	1
106	1	0
107	1	0
108	1	0
109	0	1
110	1	0
111	0	1
112	0	1
113	1	0
114	1	0
115	0	1
116	1	0
117	1	0
118	1	0
119	0	1
120	1	0
121	0	1
122	0	1
123	1	0
124	0	1
125	0	1
126	1	0
127	0	1
128	1	0
129	0	1
130	1	0
131	1	0
132	0	1
133	1	0
134	0	1
135	1	0
136	1	0
137	0	1
138	1	0
139	1	0
140	1	0
141	0	1
142	1	0
143	0	1
144	1	0
145	0	1
146	0	1
147	0	1
148	1	0
149	0	1
150	1	0
151	0	1
152	1	0
153	1	0
154	0	1
155	0	1
156	1	0
157	0	1
158	0	1
159	0	1
160	1	0
161	1	0
162	0	1
163	1	0
164	0	1
165	0	1
166	0	1
167	1	0
168	1	0
169	0	1
170	1	0
171	1	0
172	0	1
173	1	0
174	0	1
175	1	0
176	0	1
177	1	0
178	0	1
179	0	1
180	1	0
181	1	0
182	0	1
183	1	0
184	0	1
185	1	0
186	1	0
187	0	1
188	0	1
189	1	0
190	0	1
191	0	1
192	1	0
193	0	1
194	1	0
195	0	1
196	1	0
197	0	1
198	1	0
199	1	0
200	0	1
201	0	1
202	1	0
203	0	1
204	1	0
205	1	0
206	0	1
207	0	1
208	1	0
209	1	0
210	0	1
211	1	0
212	0	1
213	1	0
214	1	0
215	0	1
216	0	1
217	0	1
218	0	1
219	0	1
220	1	0
221	1	0
222	1	0
223	1	0
224	1	0
225	1	0
226	0	1
227	1	0
228	0	1
229	0	1
230	0	1
231	0	1
232	1	0
233	0	1
234	1	0
235	0	1
236	1	0
237	1	0
238	1	0
239	1	0
240	1	0
241	1	0
242	1	0
243	1	0
244	1	0
245	0	1
246	0	1
247	1	0
248	0	1
249	1	0
250	0	1
251	0	1
252	0	1
253	0	1
254	0	1
255	1	0
256	1	0
257	1	0
258	0	1
259	0	1
260	0	1
261	0	1
262	0	1
263	0	1
264	1	0
265	0	1
266	1	0
267	0	1
268	1	0
269	0	1
270	1	0
271	1	0
272	1	0
273	1	0
274	0	1
275	1	0
276	0	1
277	0	1
278	1	0
279	1	0
280	0	1
281	1	0
282	0	1
283	1	0
284	1	0
285	1	0
286	1	0
287	0	1
288	0	1
289	0	1
290	0	1
291	1	0
292	0	1
293	0	1
294	1	0
295	0	1
296	1	0
297	1	0
298	1	0
299	1	0
300	0	1
301	0	1
302	0	1
303	1	0
304	0	1
305	1	0
306	1	0
307	1	0
308	1	0
309	0	1
310	1	0
311	0	1
312	0	1
313	1	0
314	1	0
315	1	0
316	1	0
317	0	1
318	1	0
319	0	1
320	0	1
321	1	0
322	0	1
323	1	0
324	0	1
325	1	0
326	0	1
327	0	1
328	0	1
329	0	1
330	1	0
331	0	1
332	1	0
333	1	0
334	0	1
335	1	0
336	0	1
337	0	1
338	0	1
339	0	1
340	1	0
341	0	1
342	1	0
343	1	0
344	1	0
345	1	0
346	0	1
347	0	1
348	1	0
349	1	0
350	0	1
351	0	1
352	1	0
353	1	0
354	1	0
355	0	1
356	1	0
357	0	1
358	1	0
359	0	1
360	1	0
361	0	1
362	0	1
363	1	0
364	0	1
365	1	0
366	1	0
367	0	1
368	0	1
369	0	1
370	1	0
371	1	0
372	1	0
373	1	0
374	1	0
375	1	0
376	1	0
377	1	0
378	0	1
379	1	0
380	0	1
381	0	1
382	0	1
383	0	1
384	0	1
385	0	1
386	1	0
387	1	0
388	1	0
389	0	1
390	1	0
391	0	1
392	1	0
393	1	0
394	1	0
395	1	0
396	1	0
397	0	1
398	0	1
399	0	1
400	0	1
401	0	1
402	0	1
403	1	0
404	0	1
405	0	1
406	0	1
407	1	0
408	1	0
409	1	0
410	0	1
411	1	0
412	0	1
413	1	0
414	1	0
415	0	1
416	0	1
417	0	1
418	0	1
419	1	0
420	1	0
421	0	1
422	1	0
423	1	0
424	1	0
425	1	0
426	0	1
427	1	0
428	1	0
429	1	0
430	1	0
431	0	1
432	1	0
433	0	1
434	1	0
435	0	1
436	0	1
437	1	0
438	1	0
439	0	1
440	1	0
441	0	1
442	1	0
443	1	0
444	1	0
445	1	0
446	0	1
447	1	0
448	0	1
449	0	1
450	0	1
451	0	1
452	0	1
453	0	1
454	1	0
455	0	1
456	0	1
457	0	1
458	1	0
459	0	1
460	1	0
461	0	1
462	0	1
463	0	1
464	1	0
465	0	1
466	1	0
467	1	0
468	1	0
469	1	0
470	1	0
471	1	0
472	0	1
473	1	0
474	0	1
475	1	0
476	1	0
477	1	0
478	1	0
479	1	0
480	0	1
481	0	1
482	0	1
483	1	0
484	1	0
485	0	1
486	1	0
487	0	1
488	0	1
489	0	1
490	1	0
491	0	1
492	1	0
493	1	0
494	0	1
495	0	1
496	0	1
497	1	0
498	1	0
499	0	1
500	0	1
501	1	0
502	1	0
503	1	0
504	1	0
505	1	0
506	0	1
507	0	1
508	1	0
509	1	0
510	1	0
511	1	0
512	0	1
513	0	1
514	1	0
515	1	0
516	0	1
517	1	0
518	0	1
519	1	0
520	1	0
521	0	1
522	0	1
523	0	1
524	0	1
525	0	1
526	0	1
527	0	1
528	1	0
529	0	1
530	1	0
531	1	0
532	1	0
533	1	0
534	1	0
535	1	0
536	1	0
537	0	1
538	0	1
539	0	1
540	0	1
541	1	0
542	0	1
543	0	1
544	0	1
545	1	0
546	1	0
547	0	1
548	1	0
549	1	0
550	1	0
551	1	0
552	0	1
553	1	0
554	0	1
555	1	0
556	0	1
557	1	0
558	1	0
559	0	1
560	0	1
561	0	1
562	0	1
563	1	0
564	1	0
565	0	1
566	0	1
567	0	1
568	0	1
569	0	1
570	0	1
571	1	0
572	1	0
573	0	1
574	1	0
575	1	0
576	0	1
577	1	0
578	1	0
579	1	0
580	0	1
581	1	0
582	0	1
583	1	0
584	1	0
585	0	1
586	0	1
587	0	1
588	0	1
589	0	1
590	1	0
591	1	0
592	1	0
593	0	1
594	0	1
595	1	0
596	1	0
597	1	0
598	1	0
599	0	1
600	0	1
601	0	1
602	1	0
603	0	1
604	0	1
605	1	0
606	1	0
607	0	1
608	1	0
609	0	1
610	1	0
611	0	1
612	0	1
613	0	1
614	0	1
615	0	1
616	0	1
617	1	0
618	1	0
619	0	1
620	1	0
621	0	1
622	1	0
623	1	0
624	1	0
625	0	1
626	1	0
627	1	0
628	0	1
629	1	0
630	1	0
631	1	0
632	1	0
633	1	0
634	1	0
635	1	0
636	0	1
637	1	0
638	1	0
639	1	0
640	1	0
641	1	0
642	0	1
643	0	1
644	1	0
645	0	1
646	0	1
647	1	0
648	0	1
649	1	0
650	0	1
651	1	0
652	0	1
653	0	1
654	0	1
655	0	1
656	0	1
657	0	1
658	0	1
