p	ad_min	ad_max
1	0	0
2	0	18
3	0	0
4	0	0
5	0	0
6	20	20
7	18	21
8	12	17
9	2	2
10	5	8
11	19	19
12	3	3
13	18	19
14	5	5
15	22	22
16	3	3
17	20	21
18	26	26
19	20	23
20	22	22
21	2	17
22	25	25
23	22	22
24	17	17
25	4	15
26	10	10
27	5	8
28	14	25
29	20	22
30	13	14
31	6	15
32	15	18
33	15	15
34	19	19
35	13	21
36	24	24
37	27	27
38	27	27
39	5	5
40	3	3
41	3	3
42	26	26
43	2	2
44	8	17
45	16	16
46	1	1
47	23	25
48	22	22
49	3	4
50	25	25
51	8	23
52	4	4
53	27	27
54	18	19
55	23	23
56	1	14
57	23	23
58	25	25
59	16	18
60	16	16
61	14	14
62	17	17
63	16	16
64	18	18
65	0	19
66	7	7
67	10	10
68	24	24
69	2	18
70	2	2
71	8	12
72	21	21
73	10	12
74	24	25
75	6	6
76	2	19
77	25	25
78	3	3
79	22	26
80	10	10
81	9	9
82	6	6
83	12	12
84	15	17
85	20	24
86	14	18
87	27	27
88	24	24
89	18	19
90	11	12
91	16	16
92	3	7
93	1	3
94	11	12
95	7	7
96	26	26
97	22	23
98	7	11
99	13	18
100	19	19
