p	L_p
1	2
2	1
3	1
4	1
5	2
6	2
7	3
8	4
9	4
10	4
11	3
12	1
13	1
14	2
15	4
16	1
17	4
18	1
19	1
20	1
21	1
22	2
23	5
24	4
25	5
26	2
27	3
28	5
29	1
30	5
31	4
32	2
33	4
34	1
35	4
36	1
37	1
38	1
39	1
40	2
41	3
42	3
43	3
44	1
45	1
46	4
47	1
48	1
49	5
50	2
51	3
52	2
53	3
54	2
55	2
56	7
57	10
58	5
59	2
60	2
61	2
62	5
63	2
64	3
65	4
66	2
67	4
68	2
69	1
70	2
71	4
72	5
73	5
74	4
75	10
76	6
77	2
78	1
79	3
80	4
81	3
82	2
83	3
84	7
85	4
86	8
87	7
88	9
89	1
90	4
91	3
92	1
93	7
94	7
95	3
96	5
97	8
98	7
99	4
100	5
101	3
102	9
103	2
104	2
105	1
106	2
107	3
108	7
109	2
110	9
111	1
112	2
113	3
114	3
115	2
116	3
117	9
118	4
119	3
120	2
121	5
122	5
123	6
124	2
125	7
126	4
127	3
128	5
129	1
130	1
131	1
132	1
133	1
134	6
135	2
136	4
137	8
138	6
139	8
140	2
141	1
142	5
143	5
144	5
145	2
146	7
147	3
148	3
149	3
150	4
151	3
152	2
153	2
154	7
155	7
156	5
157	7
158	10
159	3
160	8
161	4
162	2
163	2
164	2
165	10
166	1
167	2
168	3
169	9
170	2
171	6
172	4
173	7
174	4
175	6
176	6
177	1
178	5
179	2
180	8
181	4
182	3
183	6
184	3
185	8
186	6
187	2
188	2
189	3
190	5
191	2
192	7
193	7
194	6
195	1
196	2
197	4
198	9
199	1
200	3
201	5
202	8
203	1
204	4
205	9
206	10
207	4
208	8
209	2
210	2
211	2
212	5
213	8
214	5
215	7
216	8
217	10
218	1
219	1
220	10
221	3
222	2
223	7
224	4
225	10
226	1
227	9
228	1
229	6
230	4
231	3
232	6
233	7
234	4
235	9
236	4
237	7
238	8
239	3
240	2
241	5
242	4
243	1
244	2
245	3
246	5
247	2
248	10
249	4
250	1
251	10
252	5
253	5
254	3
255	2
256	4
257	6
258	2
259	2
260	9
261	2
262	8
263	3
264	2
265	4
266	2
267	3
268	6
269	3
270	6
271	1
272	2
273	9
274	3
275	3
276	2
277	2
278	6
279	3
280	7
281	4
282	6
283	4
284	9
285	3
286	8
287	9
288	9
289	3
290	3
291	4
292	8
293	8
294	4
295	6
296	2
297	3
298	3
299	6
300	1
301	3
302	2
303	2
304	3
305	10
306	6
307	6
308	3
309	3
310	1
311	5
312	1
313	6
314	4
315	8
316	7
317	7
318	8
319	4
320	3
321	5
322	8
323	3
324	4
325	2
326	2
327	3
328	5
329	3
330	9
331	6
332	3
333	4
334	4
335	3
336	8
337	6
338	2
339	5
340	3
341	1
342	3
343	3
344	7
345	2
346	3
347	10
348	5
349	1
350	2
351	9
352	2
353	3
354	3
355	2
356	4
357	1
358	6
359	8
360	2
361	3
362	2
363	1
364	5
365	5
366	3
367	10
368	7
369	5
370	1
371	5
372	3
373	1
374	3
375	2
376	10
377	1
378	3
379	1
380	10
381	7
382	3
383	3
384	3
385	8
386	3
387	9
388	2
389	1
390	1
391	2
392	4
393	10
394	8
395	2
396	9
397	4
398	1
399	2
400	4
401	2
402	2
403	8
404	10
405	2
406	2
407	2
408	5
409	4
410	2
411	3
412	3
413	2
414	9
415	4
416	6
417	3
418	7
419	5
420	9
421	2
422	5
423	6
424	2
425	10
426	3
427	3
428	8
429	10
430	2
431	10
432	8
433	1
434	3
435	2
436	3
437	1
438	1
439	3
440	7
441	10
442	3
443	7
444	7
445	3
446	4
447	2
448	7
449	1
450	4
451	6
452	4
453	8
454	2
455	1
456	4
457	7
458	3
459	1
460	2
461	9
462	9
463	4
464	10
465	6
466	10
467	8
468	8
469	5
470	3
471	5
472	7
473	3
474	4
475	8
476	2
477	8
478	2
479	6
480	1
481	9
482	7
483	1
484	1
485	4
486	2
487	6
488	2
489	6
490	3
491	2
492	3
493	6
494	3
495	7
496	2
497	3
498	3
499	3
500	7
501	3
502	3
503	4
504	2
505	1
506	7
507	7
508	4
509	5
510	7
511	2
512	4
513	3
514	1
515	4
516	3
517	2
518	8
519	6
520	8
521	2
522	3
523	8
524	4
525	2
526	2
527	7
528	1
529	1
530	2
531	3
532	4
533	1
534	7
535	3
536	2
537	3
538	2
539	4
540	2
541	3
542	4
543	8
544	1
545	6
546	9
547	1
548	3
549	5
550	2
551	6
552	1
553	4
554	2
555	7
556	3
557	1
558	8
559	2
560	4
561	2
562	2
563	10
564	8
565	3
566	2
567	2
568	9
569	6
570	1
571	1
572	6
573	8
574	3
575	3
576	7
577	1
578	8
579	1
580	2
581	6
582	10
583	8
584	6
585	2
586	2
587	3
588	8
589	2
590	3
591	2
592	9
593	3
594	2
595	6
596	2
597	5
598	7
599	8
600	2
601	8
602	3
603	10
604	8
605	5
606	1
607	7
608	4
609	7
610	2
611	2
612	3
613	9
614	9
615	2
616	5
617	3
618	4
619	1
620	2
621	8
622	8
623	2
624	7
625	5
626	1
627	2
628	7
629	4
630	5
631	3
632	3
633	3
634	7
635	5
636	3
637	9
638	3
639	6
640	4
641	2
642	9
643	7
644	1
645	3
646	1
647	5
648	3
649	7
650	7
651	3
652	4
653	2
654	5
655	4
656	1
657	2
658	9
659	3
660	3
661	10
662	6
663	6
664	1
665	3
666	3
667	2
668	2
669	3
670	2
671	2
672	8
673	6
674	2
675	8
676	1
677	2
678	1
679	5
680	7
681	3
682	1
683	2
684	2
685	7
686	6
687	3
688	4
689	3
690	4
691	3
692	1
693	2
694	7
695	6
696	3
697	5
698	3
699	1
700	3
701	2
702	6
703	3
704	1
705	3
706	8
707	1
708	4
709	8
710	9
711	10
712	1
713	3
714	4
715	4
716	4
717	5
718	6
719	3
720	3
721	4
722	6
723	3
724	3
725	6
726	7
727	2
728	4
729	2
730	3
731	1
732	8
733	2
734	1
735	10
736	4
737	3
738	3
739	9
740	2
741	3
742	2
743	7
744	3
745	2
746	2
747	3
748	4
749	6
750	3
751	7
752	2
753	7
754	2
755	2
756	8
757	4
758	2
759	3
760	4
761	3
762	3
763	1
764	7
765	2
766	5
767	4
768	2
769	3
770	2
771	7
772	3
773	5
774	3
775	8
776	5
777	5
778	4
779	3
780	1
781	1
782	6
783	9
784	2
785	7
786	2
787	4
788	1
789	4
790	2
791	2
792	1
793	4
794	3
795	9
796	9
797	1
798	4
799	1
800	1
801	10
802	10
803	10
804	1
805	1
806	1
807	5
808	1
809	7
810	6
811	3
812	7
813	1
814	9
815	8
816	5
817	2
818	5
819	1
820	9
821	9
822	2
823	2
824	6
825	10
826	2
827	2
828	2
829	9
830	3
831	7
832	2
833	6
834	5
835	7
836	4
837	1
838	1
839	2
840	5
841	1
842	5
843	9
844	9
845	4
846	6
847	8
848	3
849	7
850	1
851	7
852	7
853	3
854	3
855	2
856	3
857	9
858	4
859	3
860	3
861	3
862	5
863	6
864	1
865	4
866	8
867	4
868	7
869	4
870	9
871	3
872	1
873	2
874	2
875	1
876	2
877	4
878	10
879	1
880	4
881	6
882	4
883	7
884	6
885	4
886	5
887	7
888	3
889	6
890	9
891	7
892	10
893	7
894	4
895	8
896	2
897	7
898	4
899	8
900	6
901	4
902	5
903	2
904	5
905	2
906	3
907	8
908	7
909	2
910	1
911	9
912	10
913	3
914	3
915	2
916	2
917	2
918	2
919	8
920	5
921	1
922	6
923	2
924	5
925	5
926	6
927	2
928	8
929	3
930	4
931	8
932	4
933	6
934	2
935	2
936	1
937	1
938	8
939	1
940	8
941	9
942	8
943	2
944	5
945	3
946	2
947	2
948	3
949	3
950	3
951	3
952	2
953	3
954	2
955	3
956	6
957	1
958	8
959	1
960	2
961	3
962	1
963	5
964	2
965	3
966	6
967	3
968	8
969	2
970	1
971	3
972	4
973	1
974	1
975	3
976	5
977	1
978	4
979	2
980	5
981	10
982	3
983	3
984	9
985	7
986	3
987	2
988	1
989	3
990	4
991	3
992	8
993	9
994	7
995	7
996	5
997	10
998	2
999	3
1000	2
