p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.47
2	1	1.00
2	2	0.15
3	1	1.00
3	2	0.81
4	1	1.00
4	2	0.93
5	1	1.00
5	2	1.00
5	3	0.78
6	1	1.00
6	2	1.00
6	3	0.28
7	1	1.00
7	2	1.00
7	3	1.00
7	4	0.66
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	0.25
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	0.52
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	0.12
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.17
12	1	1.00
12	2	0.52
13	1	1.00
13	2	0.46
14	1	1.00
14	2	1.00
14	3	0.18
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	0.57
16	1	1.00
16	2	0.07
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	0.74
18	1	1.00
18	2	0.59
19	1	1.00
19	2	0.90
20	1	1.00
20	2	0.01
21	1	1.00
21	2	0.11
22	1	1.00
22	2	1.00
22	3	0.28
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	0.50
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	0.60
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	1.00
25	6	0.83
26	1	1.00
26	2	1.00
26	3	0.29
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.40
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	0.55
29	1	1.00
29	2	0.85
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	0.94
31	1	1.00
31	2	1.00
31	3	1.00
31	4	1.00
31	5	0.21
32	1	1.00
32	2	1.00
32	3	0.80
33	1	1.00
33	2	1.00
33	3	1.00
33	4	1.00
33	5	0.22
34	1	1.00
34	2	0.74
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	0.22
36	1	1.00
36	2	0.91
