p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.10
2	1	1.00
2	2	1.00
2	3	1.00
2	4	0.11
3	1	1.00
3	2	0.86
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	0.41
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	0.92
6	1	1.00
6	2	1.00
6	3	1.00
6	4	0.68
7	1	1.00
7	2	0.02
8	1	1.00
8	2	0.48
9	1	1.00
9	2	1.00
9	3	0.14
10	1	1.00
10	2	1.00
10	3	1.00
10	4	0.17
11	1	1.00
11	2	1.00
11	3	0.38
12	1	1.00
12	2	1.00
12	3	1.00
12	4	0.90
13	1	1.00
13	2	0.38
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	0.50
15	1	1.00
15	2	0.94
16	1	1.00
16	2	1.00
16	3	1.00
16	4	0.17
17	1	1.00
17	2	1.00
17	3	1.00
17	4	0.52
18	1	1.00
18	2	0.27
19	1	1.00
19	2	1.00
19	3	0.70
20	1	1.00
20	2	1.00
20	3	1.00
20	4	0.75
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	0.64
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.35
23	1	1.00
23	2	0.91
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	0.82
25	1	1.00
25	2	1.00
25	3	0.72
26	1	1.00
26	2	0.43
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.57
28	1	1.00
28	2	1.00
28	3	0.42
29	1	1.00
29	2	1.00
29	3	0.81
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	0.49
31	1	1.00
31	2	0.13
32	1	1.00
32	2	1.00
32	3	1.00
32	4	1.00
32	5	0.46
33	1	1.00
33	2	1.00
33	3	1.00
33	4	1.00
33	5	1.00
33	6	0.73
34	1	1.00
34	2	0.95
35	1	1.00
35	2	1.00
35	3	1.00
35	4	0.80
36	1	1.00
36	2	1.00
36	3	1.00
36	4	0.21
