p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
1	25	1
1	26	1
1	27	1
1	28	1
1	29	1
1	30	1
1	31	1
1	32	1
1	33	1
1	34	1
1	35	1
1	36	1
1	37	1
1	38	1
1	39	1
1	40	1
2	1	1
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	0
2	9	0
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	1
2	16	1
2	17	1
2	18	1
2	19	1
2	20	1
2	21	0
2	22	1
2	23	0
2	24	1
2	25	1
2	26	1
2	27	0
2	28	0
2	29	1
2	30	1
2	31	0
2	32	1
2	33	0
2	34	1
2	35	1
2	36	1
2	37	1
2	38	1
2	39	1
2	40	1
3	1	1
3	2	1
3	3	1
3	4	1
3	5	0
3	6	1
3	7	1
3	8	0
3	9	0
3	10	1
3	11	1
3	12	1
3	13	1
3	14	0
3	15	1
3	16	0
3	17	1
3	18	0
3	19	1
3	20	1
3	21	0
3	22	1
3	23	0
3	24	0
3	25	1
3	26	1
3	27	0
3	28	0
3	29	1
3	30	1
3	31	0
3	32	0
3	33	0
3	34	0
3	35	0
3	36	0
3	37	0
3	38	1
3	39	1
3	40	1
4	1	1
4	2	1
4	3	1
4	4	1
4	5	0
4	6	1
4	7	1
4	8	1
4	9	1
4	10	0
4	11	0
4	12	0
4	13	1
4	14	0
4	15	1
4	16	0
4	17	0
4	18	0
4	19	1
4	20	1
4	21	1
4	22	0
4	23	1
4	24	0
4	25	1
4	26	0
4	27	1
4	28	0
4	29	1
4	30	1
4	31	1
4	32	0
4	33	1
4	34	0
4	35	0
4	36	0
4	37	0
4	38	1
4	39	0
4	40	1
5	1	1
5	2	1
5	3	0
5	4	1
5	5	0
5	6	1
5	7	1
5	8	0
5	9	0
5	10	1
5	11	0
5	12	1
5	13	1
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	1
5	21	0
5	22	1
5	23	0
5	24	0
5	25	1
5	26	1
5	27	0
5	28	0
5	29	1
5	30	0
5	31	0
5	32	0
5	33	0
5	34	0
5	35	0
5	36	0
5	37	0
5	38	1
5	39	0
5	40	0
6	1	1
6	2	1
6	3	1
6	4	1
6	5	0
6	6	1
6	7	1
6	8	0
6	9	0
6	10	1
6	11	1
6	12	1
6	13	1
6	14	0
6	15	1
6	16	0
6	17	1
6	18	0
6	19	1
6	20	1
6	21	0
6	22	1
6	23	0
6	24	0
6	25	1
6	26	1
6	27	0
6	28	0
6	29	1
6	30	1
6	31	0
6	32	0
6	33	0
6	34	0
6	35	0
6	36	0
6	37	0
6	38	1
6	39	1
6	40	1
7	1	0
7	2	0
7	3	1
7	4	1
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	0
7	12	1
7	13	1
7	14	0
7	15	0
7	16	0
7	17	1
7	18	0
7	19	1
7	20	0
7	21	1
7	22	1
7	23	1
7	24	0
7	25	1
7	26	1
7	27	1
7	28	1
7	29	1
7	30	0
7	31	1
7	32	0
7	33	1
7	34	0
7	35	0
7	36	0
7	37	0
7	38	1
7	39	1
7	40	0
8	1	1
8	2	1
8	3	1
8	4	1
8	5	0
8	6	1
8	7	1
8	8	0
8	9	0
8	10	1
8	11	1
8	12	1
8	13	1
8	14	0
8	15	1
8	16	0
8	17	1
8	18	0
