p	ad_min	ad_max
1	0	0
2	0	0
3	0	0
4	0	0
5	0	13
6	0	0
7	0	24
8	0	42
9	0	46
10	0	4
11	0	24
12	0	0
13	0	37
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	9
21	0	0
22	0	31
23	0	47
24	0	0
25	0	5
26	0	51
27	0	20
28	0	50
29	0	22
30	0	0
31	0	8
32	0	52
33	0	28
34	0	1
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	17
41	0	6
42	0	0
43	0	0
44	0	26
45	0	0
46	0	33
47	0	30
48	0	48
49	0	0
50	0	0
51	43	44
52	36	39
53	36	36
54	49	49
55	3	3
56	9	9
57	3	3
58	3	23
59	44	44
60	16	16
61	14	20
62	40	40
63	5	54
64	52	52
65	26	26
66	19	30
67	17	36
68	44	44
69	21	21
70	31	31
71	48	48
72	29	29
73	2	2
74	18	18
75	33	46
76	42	42
77	42	53
78	54	54
79	2	2
80	32	48
81	12	12
82	30	48
83	40	42
84	6	15
85	22	22
86	0	4
87	23	23
88	16	16
89	7	7
90	55	55
91	41	41
92	25	54
93	32	32
94	11	11
95	4	4
96	38	38
97	21	31
98	16	41
99	35	44
100	18	18
101	37	37
102	28	43
103	18	35
104	29	32
105	13	42
106	28	44
107	26	38
108	55	55
109	17	17
110	5	28
111	43	44
112	34	47
113	20	50
114	53	53
115	25	42
116	22	22
117	38	38
118	20	20
119	18	18
120	48	52
121	24	24
122	43	45
123	36	36
124	24	49
125	48	48
126	20	20
127	19	19
128	11	32
129	18	18
130	32	35
131	2	2
132	44	44
133	42	46
134	36	36
135	26	26
136	49	49
137	42	42
138	21	24
139	32	32
140	49	55
141	30	41
142	45	45
143	36	36
144	33	33
145	39	39
146	16	23
147	18	18
148	40	40
149	50	50
150	53	54
151	9	30
152	40	40
153	55	55
154	28	28
155	45	45
156	51	51
157	3	3
158	47	51
159	15	52
160	23	23
161	50	50
162	22	25
163	24	51
164	44	44
165	39	44
166	10	38
167	3	3
168	47	47
169	30	30
170	0	50
171	50	50
172	42	42
173	30	30
174	35	35
175	29	29
176	22	22
177	36	36
178	17	22
179	43	46
180	52	52
181	41	41
182	9	32
183	40	47
184	31	35
185	4	39
186	47	47
187	1	39
188	5	5
189	19	19
190	47	48
191	32	32
192	47	47
193	49	50
194	24	32
195	53	53
196	16	27
197	51	51
198	44	44
199	21	27
200	45	45
201	17	20
202	52	52
203	19	19
204	19	19
205	8	25
206	32	32
207	13	13
208	30	30
209	21	21
210	23	23
211	36	52
212	9	29
213	35	45
214	15	15
215	27	27
216	23	23
217	48	54
218	7	7
219	31	51
220	29	29
221	47	47
222	24	24
223	23	23
224	43	43
225	38	42
226	35	51
227	37	38
228	39	45
229	19	19
230	38	51
231	43	43
232	49	49
233	54	54
234	10	33
235	42	42
236	52	52
237	14	14
238	46	46
239	40	42
240	32	32
241	22	22
242	23	23
243	36	36
244	53	53
245	33	33
246	44	44
