p	L_p
1	4
2	2
3	3
4	3
5	3
6	2
7	2
8	4
9	3
10	4
11	5
12	7
13	4
14	5
15	1
16	4
17	5
18	3
19	7
20	2
21	3
22	4
23	3
24	6
25	2
26	5
27	5
28	4
29	7
30	2
31	7
32	4
33	4
34	4
35	7
36	7
37	8
38	7
39	1
40	9
41	7
42	6
43	2
44	9
45	3
46	3
47	3
48	3
49	4
50	4
51	1
52	3
53	2
54	9
55	2
56	4
57	6
58	1
59	7
60	7
61	1
62	1
63	7
64	1
65	2
66	1
67	6
68	3
69	8
70	7
71	2
72	7
73	4
74	8
75	6
76	4
77	2
78	10
79	4
80	9
81	1
82	4
83	8
84	5
85	8
86	2
87	3
88	6
89	8
90	4
91	9
92	3
93	8
94	7
95	3
96	3
97	6
98	8
99	3
100	2
101	2
102	8
103	8
104	4
105	7
106	7
107	3
108	1
109	7
110	2
111	4
112	3
113	8
114	2
115	2
116	6
117	10
118	4
119	4
120	2
121	2
122	2
123	7
124	1
125	10
126	5
127	2
128	2
129	5
130	9
131	6
132	4
133	2
134	10
135	4
136	10
137	3
138	3
139	6
140	1
141	5
142	6
143	6
144	2
145	9
146	2
147	4
148	6
149	5
150	5
151	3
152	2
153	10
154	1
155	8
156	3
157	1
158	9
159	2
160	2
161	8
162	6
163	2
164	9
165	1
166	3
167	2
168	8
169	4
170	2
171	3
172	2
173	4
174	6
175	2
176	3
177	2
178	4
179	8
180	3
181	8
182	3
183	4
184	5
185	1
186	9
187	5
188	1
189	3
190	1
191	6
192	6
193	10
194	1
195	7
196	3
197	8
198	9
199	4
200	8
