p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	0.80
1	6	0.78
2	1	1.00
2	2	1.00
2	3	0.92
2	4	0.19
3	1	1.00
3	2	1.00
3	3	1.00
3	4	0.54
3	5	0.21
4	1	1.00
4	2	1.00
4	3	1.00
4	4	0.22
4	5	0.19
5	1	1.00
5	2	1.00
5	3	1.00
5	4	0.23
5	5	0.09
6	1	1.00
6	2	1.00
6	3	0.08
6	4	0.00
7	1	1.00
7	2	1.00
7	3	0.48
7	4	0.01
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	0.94
8	6	0.69
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.49
9	5	0.42
10	1	1.00
10	2	1.00
10	3	1.00
10	4	1.00
10	5	0.46
10	6	0.03
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	1.00
11	6	0.72
11	7	0.52
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	0.92
12	9	0.08
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	0.04
13	6	0.03
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	0.86
14	7	0.22
15	1	1.00
15	2	0.57
15	3	0.56
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	0.72
16	6	0.29
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	0.66
17	7	0.24
18	1	1.00
18	2	1.00
18	3	1.00
18	4	0.37
18	5	0.16
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	0.57
19	9	0.05
20	1	1.00
20	2	1.00
20	3	0.72
20	4	0.41
21	1	1.00
21	2	1.00
21	3	1.00
21	4	0.17
21	5	0.03
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	0.19
22	6	0.10
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.52
