p	ad_min	ad_max
1	0	0
2	0	9
3	0	25
4	0	0
5	0	0
6	16	22
7	8	9
8	16	16
9	12	15
10	16	16
11	18	18
12	5	5
13	19	19
14	26	26
15	21	23
16	23	23
17	19	19
18	4	12
19	20	21
20	4	9
21	24	24
22	14	14
23	15	18
24	14	14
25	14	14
26	19	23
27	13	13
28	24	26
29	14	23
30	15	18
31	14	14
32	2	2
33	13	13
34	16	16
35	16	22
36	3	5
37	0	1
38	0	0
39	4	7
40	16	16
41	9	9
42	17	17
43	2	16
44	19	21
45	0	0
46	15	15
47	15	19
48	2	2
49	1	1
50	2	19
51	27	27
52	5	5
53	4	4
54	22	26
55	26	26
56	27	27
57	11	11
58	22	22
59	20	21
60	1	1
61	4	4
62	22	25
63	7	14
64	27	27
65	24	24
66	15	15
67	4	4
68	20	20
69	3	5
70	7	21
71	22	22
72	24	24
73	20	20
74	27	27
75	22	22
76	5	5
77	9	9
78	6	6
79	18	23
80	3	11
81	21	22
82	6	6
83	17	20
84	24	24
85	7	14
86	7	7
87	27	27
88	20	20
89	8	8
90	21	21
91	13	13
92	18	18
93	13	13
94	2	7
95	23	23
96	12	14
97	2	2
98	16	16
99	17	18
100	14	14
