p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.16
1	4	0.15
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.37
2	7	0.30
3	1	1.00
3	2	1.00
3	3	0.72
3	4	0.63
4	1	1.00
4	2	1.00
4	3	0.79
4	4	0.17
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	0.26
5	7	0.03
6	1	1.00
6	2	0.35
6	3	0.29
7	1	1.00
7	2	1.00
7	3	1.00
7	4	0.70
7	5	0.59
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.80
8	5	0.32
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	1.00
9	6	0.87
9	7	0.79
10	1	1.00
10	2	1.00
10	3	0.15
10	4	0.06
11	1	1.00
11	2	0.87
11	3	0.85
12	1	1.00
12	2	0.84
12	3	0.24
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.73
13	7	0.56
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	1.00
14	7	1.00
14	8	1.00
14	9	0.60
14	10	0.41
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	1.00
15	8	1.00
15	9	0.23
15	10	0.01
16	1	1.00
16	2	1.00
16	3	1.00
16	4	0.64
16	5	0.47
17	1	1.00
17	2	1.00
17	3	1.00
17	4	0.43
17	5	0.23
18	1	1.00
18	2	1.00
18	3	0.66
18	4	0.04
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	0.78
19	9	0.48
20	1	1.00
20	2	1.00
20	3	0.37
20	4	0.31
21	1	1.00
21	2	0.61
21	3	0.36
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	1.00
22	6	1.00
22	7	1.00
22	8	0.80
22	9	0.76
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.39
23	5	0.06
24	1	1.00
