p	Fe	Ma
1	0	1
2	1	0
3	1	0
4	0	1
5	1	0
6	1	0
7	1	0
8	1	0
9	0	1
10	1	0
11	0	1
12	1	0
13	0	1
14	0	1
15	0	1
16	1	0
17	1	0
18	0	1
19	0	1
20	0	1
21	1	0
22	1	0
23	1	0
24	0	1
25	0	1
26	1	0
27	0	1
28	0	1
29	0	1
30	0	1
31	0	1
32	0	1
33	1	0
34	0	1
35	0	1
36	1	0
37	1	0
38	1	0
39	1	0
40	0	1
41	0	1
42	0	1
43	1	0
44	0	1
45	1	0
46	1	0
47	0	1
48	1	0
49	1	0
50	0	1
51	1	0
52	1	0
53	0	1
54	1	0
55	0	1
56	0	1
57	0	1
58	0	1
59	0	1
60	1	0
61	1	0
62	1	0
63	0	1
64	0	1
65	0	1
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	0	1
72	1	0
73	1	0
74	0	1
75	0	1
76	1	0
77	0	1
78	0	1
79	1	0
80	0	1
81	1	0
82	1	0
83	0	1
84	1	0
85	0	1
86	1	0
87	1	0
88	0	1
89	0	1
90	1	0
91	1	0
92	1	0
93	1	0
94	0	1
95	1	0
96	0	1
97	0	1
98	0	1
99	1	0
100	0	1
