p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	0
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	0
1	22	0
1	23	1
1	24	1
1	25	1
1	26	1
1	27	1
1	28	1
1	29	0
1	30	1
1	31	0
1	32	1
1	33	1
1	34	1
1	35	1
1	36	1
1	37	0
1	38	1
1	39	1
1	40	1
2	1	1
2	2	1
2	3	1
2	4	0
2	5	0
2	6	0
2	7	1
2	8	1
2	9	1
2	10	1
2	11	1
2	12	1
2	13	1
2	14	1
2	15	0
2	16	1
2	17	0
2	18	1
2	19	1
2	20	0
2	21	1
2	22	1
2	23	1
2	24	1
2	25	0
2	26	1
2	27	1
2	28	1
2	29	1
2	30	1
2	31	1
2	32	1
2	33	1
2	34	1
2	35	1
2	36	0
2	37	1
2	38	0
2	39	1
2	40	1
3	1	1
3	2	1
3	3	0
3	4	0
3	5	0
3	6	0
3	7	1
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
3	13	0
3	14	0
3	15	0
3	16	1
3	17	0
3	18	0
3	19	1
3	20	0
3	21	1
3	22	1
3	23	1
3	24	1
3	25	0
3	26	1
3	27	0
3	28	1
3	29	1
3	30	1
3	31	1
3	32	1
3	33	0
3	34	1
3	35	1
3	36	0
3	37	1
3	38	0
3	39	1
3	40	1
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	0
4	7	1
4	8	1
4	9	1
4	10	1
4	11	1
4	12	1
4	13	0
4	14	0
4	15	0
4	16	1
4	17	0
4	18	0
4	19	0
4	20	0
4	21	1
4	22	1
4	23	0
4	24	1
4	25	0
4	26	1
4	27	0
4	28	1
4	29	1
4	30	1
4	31	1
4	32	0
4	33	0
4	34	1
4	35	1
4	36	0
4	37	1
4	38	0
4	39	1
4	40	0
5	1	1
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	0
5	12	0
5	13	1
5	14	1
5	15	0
5	16	0
5	17	0
5	18	1
5	19	1
5	20	0
5	21	1
5	22	1
5	23	1
5	24	0
5	25	0
5	26	0
5	27	1
5	28	0
5	29	1
5	30	0
5	31	1
5	32	1
5	33	1
5	34	0
5	35	0
5	36	0
5	37	1
5	38	0
5	39	0
5	40	1
6	1	1
6	2	1
6	3	1
6	4	0
6	5	0
6	6	0
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	1
6	13	1
6	14	1
6	15	0
6	16	1
6	17	0
6	18	1
6	19	1
6	20	0
6	21	1
6	22	1
6	23	1
6	24	1
6	25	0
6	26	1
6	27	1
6	28	1
6	29	1
6	30	1
6	31	1
6	32	1
6	33	1
6	34	1
6	35	1
6	36	0
6	37	1
6	38	0
6	39	1
6	40	1
7	1	0
7	2	0
7	3	1
7	4	1
7	5	0
7	6	0
7	7	0
7	8	0
7	9	1
7	10	0
7	11	1
7	12	1
7	13	0
7	14	0
7	15	0
7	16	0
7	17	0
7	18	0
7	19	0
7	20	0
7	21	0
7	22	0
7	23	0
7	24	0
7	25	0
7	26	1
7	27	1
7	28	1
7	29	0
7	30	1
7	31	0
7	32	1
7	33	0
7	34	0
7	35	0
7	36	1
7	37	0
7	38	1
7	39	1
7	40	0
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
8	9	0
8	10	1
8	11	0
8	12	0
8	13	1
8	14	1
8	15	1
8	16	1
8	17	1
8	18	1
