p	L_p
1	4
2	1
3	4
4	3
5	3
6	2
7	3
8	2
9	4
10	3
11	1
12	2
13	1
14	1
15	3
16	4
17	4
18	2
19	3
20	1
21	5
22	1
23	1
24	3
25	1
26	2
27	1
28	4
29	3
30	5
31	4
32	4
33	2
34	2
35	2
36	5
37	2
38	4
39	1
40	2
41	1
42	2
43	2
44	4
45	1
46	1
47	3
48	3
49	1
50	4
51	2
52	1
53	5
54	2
55	6
56	3
57	3
58	2
59	1
60	3
61	2
62	2
63	3
64	2
65	5
66	4
67	7
68	3
69	5
70	3
71	9
72	4
73	1
74	4
75	9
76	2
77	10
78	4
79	2
80	5
81	3
82	4
83	3
84	5
85	1
86	8
87	4
88	3
89	6
90	7
91	3
92	6
93	5
94	3
95	2
96	2
97	3
98	5
99	8
100	6
101	7
102	6
103	3
104	4
105	3
106	3
107	2
108	5
109	2
110	4
111	7
112	1
113	1
114	2
115	8
116	1
117	2
118	7
119	6
120	8
121	3
122	1
123	8
124	2
125	5
126	3
127	4
128	7
129	3
130	1
131	9
132	2
133	3
134	2
135	2
136	2
137	2
138	4
139	10
140	5
141	3
142	1
143	2
144	4
145	3
146	3
147	9
148	2
149	4
150	7
151	7
152	3
153	4
154	4
155	4
156	3
157	2
158	7
159	2
160	2
161	1
162	10
163	1
164	1
165	7
166	3
167	7
168	1
169	2
170	7
171	4
172	4
173	1
174	3
175	7
176	2
177	4
178	2
179	5
180	3
181	8
182	4
183	2
184	6
185	8
186	1
187	7
188	1
189	3
190	3
191	2
192	5
193	6
194	2
195	2
196	1
197	1
198	3
199	10
200	3
201	8
202	4
203	1
204	3
205	2
206	8
207	5
208	4
209	5
210	3
211	1
212	5
213	8
214	2
215	3
216	3
217	3
218	9
219	8
220	5
221	7
222	7
223	3
224	6
225	2
226	7
227	3
228	2
229	2
230	1
231	2
232	3
233	7
234	2
235	4
236	1
237	9
238	6
239	1
240	8
241	5
242	4
243	7
244	7
245	9
246	8
247	6
248	2
249	3
250	2
251	8
252	7
253	3
254	3
255	8
256	4
257	5
258	4
259	3
260	2
261	9
262	5
263	4
264	4
265	3
266	10
267	2
268	8
269	2
270	9
271	2
272	10
273	1
274	4
275	7
276	6
277	10
278	2
279	4
280	7
281	4
282	9
283	7
284	6
285	8
286	7
287	3
288	3
289	10
290	4
291	2
292	3
293	4
294	8
295	2
296	2
297	6
298	8
299	6
300	8
301	1
302	3
303	4
304	7
305	2
306	2
307	1
308	5
309	2
310	1
311	3
312	3
313	8
314	3
315	5
316	2
317	2
318	5
319	3
320	2
321	3
322	2
323	2
324	1
325	9
326	7
327	9
328	3
329	2
330	9
331	2
332	2
333	1
334	6
335	8
336	7
337	4
338	3
339	10
340	1
341	3
342	4
343	5
344	4
345	6
346	3
347	5
348	3
349	3
350	4
351	9
352	3
353	1
354	4
355	3
356	10
357	4
358	2
359	7
360	2
361	4
362	1
363	4
364	7
365	9
366	2
367	8
368	2
369	2
370	2
371	2
372	8
373	4
374	2
375	7
376	3
377	1
378	1
379	3
380	2
381	1
382	2
383	9
384	3
385	2
386	3
387	1
388	7
389	9
390	1
391	5
392	9
393	3
394	4
395	3
396	7
397	6
398	5
399	4
400	1
401	2
402	2
403	3
404	3
405	6
406	10
407	3
408	4
409	1
410	5
411	3
412	3
413	4
414	2
415	1
416	4
417	3
418	3
419	3
420	8
421	7
422	3
423	2
424	4
425	3
426	1
427	9
428	6
429	2
430	3
431	1
432	2
433	3
434	3
435	2
436	6
437	8
438	10
439	3
440	7
441	7
442	6
443	1
444	2
445	2
446	7
447	5
448	8
449	9
450	10
451	7
452	2
453	3
454	7
455	4
456	2
457	6
458	3
459	2
460	3
461	1
462	1
463	5
464	3
465	1
466	5
467	5
468	9
469	9
470	2
471	10
472	2
473	5
474	3
475	3
476	8
477	4
478	2
479	7
480	6
481	2
482	3
483	3
484	2
485	2
486	4
487	5
488	2
489	10
490	3
491	3
492	1
493	3
494	8
495	3
496	8
497	5
498	5
499	5
500	4
501	7
502	3
503	1
504	1
505	10
506	8
507	3
508	1
509	8
510	2
511	2
512	2
513	2
514	6
515	4
516	2
517	4
518	1
519	3
520	3
521	4
522	8
523	1
524	2
525	3
526	10
527	5
528	6
529	2
530	3
531	3
532	3
533	5
534	9
535	3
536	5
537	3
538	6
539	2
540	8
541	8
542	4
543	3
544	1
545	3
546	5
547	7
548	6
549	3
550	2
551	3
552	6
553	4
554	6
555	4
556	7
557	8
558	9
559	2
560	8
