p	L_p
1	2
2	4
3	1
4	5
5	1
6	5
7	2
8	3
9	3
10	1
11	3
12	1
13	1
14	2
15	1
16	5
17	5
18	2
19	4
20	1
21	2
22	2
23	2
24	2
25	1
26	3
27	7
28	3
29	6
30	10
31	1
32	5
33	4
34	5
35	7
36	10
37	4
38	9
39	4
40	4
41	10
42	1
43	9
44	7
45	2
46	4
47	8
48	3
49	2
50	2
51	4
52	2
53	3
54	4
55	6
56	4
57	3
58	2
59	1
60	2
61	3
62	9
63	5
64	8
65	4
66	4
67	6
68	3
69	7
70	3
71	6
72	3
73	8
74	3
75	7
76	3
77	1
78	1
79	1
80	6
81	3
82	4
83	2
84	2
85	9
86	1
87	8
88	9
89	6
90	1
91	10
92	2
93	3
94	8
95	4
96	10
97	2
98	4
99	2
100	3
101	9
102	7
103	1
104	3
105	6
106	2
107	2
108	1
109	2
110	1
111	1
112	3
113	3
114	5
115	3
116	6
117	1
118	3
119	5
120	2
121	1
122	7
123	8
124	8
125	5
126	6
127	2
128	1
129	4
130	3
131	3
132	3
133	3
134	7
135	3
136	2
137	2
138	2
139	2
140	7
141	5
142	2
143	2
144	3
145	4
146	1
147	7
148	6
149	2
150	6
151	6
152	2
153	1
154	3
155	2
156	2
157	3
158	1
159	3
160	5
161	4
162	3
163	7
164	1
165	3
166	6
167	4
168	9
169	3
170	4
171	2
172	5
173	9
174	2
175	2
176	3
177	2
178	1
179	8
180	1
181	1
182	3
183	4
184	4
185	10
186	2
187	9
188	6
189	1
190	3
191	9
192	6
193	3
194	2
195	2
196	3
197	2
198	2
199	1
200	2
201	3
202	2
203	5
204	6
205	3
206	2
207	1
208	8
209	3
210	2
211	2
212	1
213	4
214	7
215	5
216	10
217	7
218	6
219	3
220	4
221	4
222	5
223	2
224	3
225	2
226	3
227	1
228	2
229	3
230	2
231	6
232	2
233	2
234	1
235	2
236	3
237	3
238	3
239	2
240	9
241	3
242	4
243	3
244	2
245	3
246	5
247	3
248	9
249	1
250	3
251	3
252	1
253	9
254	4
255	6
256	1
257	4
258	8
259	2
260	8
261	3
262	2
263	5
264	5
265	2
266	3
267	2
268	2
269	3
270	2
271	3
272	7
273	3
274	9
275	5
276	6
277	1
278	4
279	9
280	4
281	2
282	7
283	3
284	1
285	1
286	7
287	6
288	7
289	3
290	10
291	6
292	5
293	3
294	7
295	5
296	1
297	8
298	2
299	4
300	3
301	3
302	3
303	8
304	1
305	5
306	5
307	8
308	3
309	1
310	8
311	2
312	8
313	7
314	3
315	8
316	2
317	2
318	3
319	1
320	2
321	1
322	9
323	6
324	1
325	3
326	3
327	10
328	7
329	2
330	2
331	8
332	5
333	7
334	8
335	1
336	5
337	7
338	3
339	3
340	3
341	6
342	1
343	7
344	8
345	2
346	5
347	3
348	6
349	2
350	4
351	6
352	3
353	7
354	10
355	3
356	5
357	9
358	2
359	7
360	1
361	5
362	3
363	3
364	8
365	9
366	4
367	8
368	8
369	3
370	3
371	6
372	10
373	3
374	2
375	3
376	3
377	1
378	3
379	8
380	2
381	4
382	10
383	2
384	3
385	3
386	4
387	3
388	4
389	2
390	2
391	7
392	7
393	3
394	3
395	3
396	3
397	1
398	9
399	8
400	2
401	3
402	3
403	6
404	1
405	2
406	5
407	8
408	5
409	3
410	4
411	1
412	2
413	4
414	2
415	5
416	4
417	3
418	2
419	2
420	8
421	4
422	4
423	1
424	2
425	2
426	4
427	2
428	2
429	3
430	2
431	3
432	3
433	3
434	2
435	9
436	8
437	1
438	5
439	5
440	8
441	2
442	2
443	8
444	7
445	6
446	10
447	7
448	6
449	3
450	10
451	2
452	9
453	10
454	4
455	4
456	2
457	7
458	4
459	4
460	3
461	6
462	4
463	10
464	7
465	3
466	4
467	2
468	6
469	7
470	5
471	4
472	8
473	3
474	8
475	7
476	1
477	3
478	8
479	3
480	9
481	4
482	1
483	1
484	2
485	4
486	4
487	3
488	2
489	1
490	1
491	3
492	4
493	3
494	3
495	1
496	7
497	2
498	6
499	3
500	2
