p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.10
1	4	0.09
2	1	1.00
2	2	1.00
2	3	0.23
2	4	0.19
3	1	1.00
3	2	0.92
3	3	0.61
4	1	1.00
4	2	1.00
4	3	0.99
4	4	0.88
5	1	1.00
5	2	1.00
5	3	1.00
5	4	0.97
5	5	0.44
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	1.00
6	8	1.00
6	9	1.00
6	10	0.04
6	11	0.03
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	0.68
7	6	0.32
8	1	1.00
8	2	0.78
8	3	0.19
9	1	1.00
9	2	1.00
9	3	1.00
9	4	0.33
9	5	0.22
10	1	1.00
10	2	1.00
10	3	0.66
10	4	0.54
11	1	1.00
11	2	1.00
11	3	0.87
11	4	0.46
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	1.00
12	9	1.00
12	10	0.97
12	11	0.31
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	1.00
13	7	0.63
13	8	0.40
14	1	1.00
14	2	0.20
14	3	0.00
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	0.02
15	8	0.01
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	0.91
16	6	0.21
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	1.00
17	7	1.00
17	8	1.00
17	9	0.41
17	10	0.37
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	0.00
18	6	0.00
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	0.68
19	8	0.47
20	1	1.00
20	2	1.00
20	3	1.00
20	4	0.94
20	5	0.44
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	0.39
21	7	0.25
22	1	1.00
22	2	0.97
22	3	0.22
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	1.00
23	7	1.00
23	8	0.22
23	9	0.06
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	1.00
24	7	1.00
24	8	0.21
24	9	0.03
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	1.00
25	6	1.00
25	7	1.00
25	8	1.00
25	9	0.03
25	10	0.01
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.47
26	5	0.15
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	0.94
27	6	0.00
28	1	1.00
28	2	0.40
28	3	0.30
29	1	1.00
29	2	0.88
29	3	0.63
30	1	1.00
30	2	1.00
30	3	1.00
30	4	0.71
30	5	0.28
31	1	1.00
31	2	1.00
31	3	1.00
31	4	1.00
31	5	0.46
31	6	0.01
32	1	1.00
32	2	1.00
32	3	1.00
32	4	1.00
32	5	1.00
32	6	1.00
32	7	1.00
32	8	0.46
32	9	0.43
33	1	1.00
33	2	1.00
33	3	1.00
33	4	1.00
33	5	0.82
33	6	0.51
34	1	1.00
34	2	1.00
34	3	1.00
34	4	0.15
34	5	0.00
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	1.00
35	6	1.00
35	7	0.46
35	8	0.08
36	1	1.00
36	2	1.00
36	3	1.00
36	4	0.20
36	5	0.07
37	1	1.00
37	2	0.75
37	3	0.52
38	1	1.00
38	2	1.00
38	3	0.14
38	4	0.04
39	1	1.00
39	2	1.00
39	3	1.00
39	4	1.00
39	5	1.00
39	6	1.00
39	7	1.00
39	8	0.85
39	9	0.37
40	1	1.00
40	2	0.13
40	3	0.01
41	1	1.00
41	2	1.00
41	3	1.00
41	4	0.16
41	5	0.04
42	1	1.00
42	2	1.00
42	3	1.00
42	4	1.00
42	5	1.00
42	6	1.00
42	7	1.00
42	8	0.23
42	9	0.01
43	1	1.00
43	2	1.00
43	3	1.00
43	4	0.83
43	5	0.21
44	1	1.00
44	2	1.00
44	3	0.73
44	4	0.63
45	1	1.00
45	2	0.27
45	3	0.05
46	1	1.00
46	2	1.00
46	3	1.00
46	4	1.00
46	5	1.00
46	6	0.27
46	7	0.11
47	1	1.00
47	2	1.00
47	3	1.00
47	4	0.31
47	5	0.04
48	1	1.00
48	2	1.00
48	3	1.00
48	4	0.31
48	5	0.06
49	1	1.00
49	2	1.00
49	3	1.00
49	4	1.00
49	5	0.50
49	6	0.10
50	1	1.00
50	2	1.00
50	3	1.00
50	4	1.00
50	5	1.00
50	6	0.52
50	7	0.43
