p	L_p
1	3
2	2
3	1
4	1
5	1
6	5
7	1
8	5
9	2
10	3
11	4
12	2
13	4
14	5
15	4
16	1
17	4
18	3
19	1
20	1
21	3
22	5
23	4
24	3
25	2
26	3
27	1
28	4
29	1
30	3
31	3
32	5
33	2
34	4
35	1
36	1
37	4
38	1
39	4
40	2
41	1
42	3
43	2
44	4
45	5
46	5
47	1
48	5
49	5
50	2
51	2
52	2
53	5
54	5
55	2
56	7
57	2
58	3
59	2
60	3
61	10
62	5
63	1
64	4
65	1
66	1
67	8
68	7
69	8
70	1
71	3
72	1
73	10
74	7
75	8
76	1
77	5
78	5
79	6
80	1
81	9
82	1
83	3
84	3
85	2
86	6
87	3
88	6
89	2
90	3
91	4
92	6
93	2
94	7
95	5
96	2
97	2
98	9
99	4
100	2
101	9
102	8
103	9
104	3
105	3
106	10
107	10
108	1
109	7
110	8
111	3
112	10
113	2
114	10
115	9
116	1
117	2
118	6
119	3
120	4
121	1
122	3
123	2
124	2
125	1
126	3
127	7
128	7
129	4
130	8
131	5
132	2
133	3
134	2
135	2
136	1
137	2
138	2
139	3
140	2
141	1
142	9
143	2
144	2
145	1
146	6
147	4
148	2
149	9
150	2
151	6
152	1
153	2
154	2
155	6
156	4
157	1
158	2
159	3
160	4
161	3
162	3
163	1
164	3
165	7
166	2
167	5
168	2
169	1
170	3
171	4
172	2
173	9
174	1
175	5
176	7
177	1
178	8
179	2
180	5
181	2
182	2
183	6
184	3
185	4
186	3
187	1
188	3
189	10
190	3
191	1
192	2
193	3
194	3
195	7
196	3
197	2
198	4
199	3
200	5
201	10
202	10
203	6
204	8
205	10
206	2
207	1
208	6
209	8
210	2
211	2
212	9
213	3
214	1
215	1
216	7
217	7
218	4
219	1
220	2
221	3
222	2
223	3
224	3
225	6
226	2
227	6
228	3
229	3
230	10
231	1
232	3
233	2
234	2
235	5
236	1
237	5
238	4
239	5
240	2
241	5
242	1
243	1
244	4
245	1
246	3
247	2
248	1
249	5
250	1
251	6
252	3
253	2
254	5
255	6
256	3
257	3
258	2
259	5
260	1
261	2
262	7
263	4
264	10
265	1
266	1
267	2
268	1
269	1
270	3
271	1
272	8
273	8
274	8
275	2
276	2
277	6
278	2
279	4
280	4
281	2
282	2
283	9
284	6
285	4
286	5
287	9
288	7
289	1
290	1
291	3
292	5
293	7
294	2
295	3
296	3
297	10
298	2
299	3
300	1
301	2
302	4
303	3
304	6
305	3
306	1
307	5
308	4
309	1
310	3
311	2
312	2
313	8
314	7
315	1
316	5
317	10
318	1
319	4
320	2
321	3
322	8
323	3
324	7
325	3
326	1
327	3
328	3
329	3
330	4
331	3
332	6
333	4
334	6
335	1
336	3
337	3
338	5
339	3
340	5
341	10
342	6
343	3
344	7
345	6
346	3
347	4
348	5
349	6
350	3
351	4
352	2
353	5
354	2
355	10
356	1
357	2
358	1
359	2
360	3
361	8
362	6
363	4
364	2
365	3
366	3
367	1
368	2
369	1
370	3
371	10
372	5
373	10
374	1
375	1
376	2
377	2
378	7
379	2
380	10
381	7
382	4
383	7
384	3
385	3
386	2
387	7
388	4
389	3
390	4
391	5
392	3
393	6
394	5
395	1
396	2
397	2
398	8
399	3
400	2
401	10
402	4
403	4
404	3
405	5
406	3
407	7
408	9
409	8
410	7
411	9
412	3
413	1
