p	r	C_pr
1	1	0
1	2	0
1	3	80
1	4	80
1	5	60
1	6	80
1	7	30
1	8	60
1	9	70
1	10	80
1	11	60
1	12	50
1	13	30
1	14	80
1	15	50
1	16	0
1	17	10
1	18	60
1	19	50
1	20	50
1	21	30
1	22	50
1	23	60
1	24	60
1	25	50
1	26	60
1	27	10
1	28	80
1	29	10
1	30	60
1	31	60
1	32	50
1	33	60
1	34	0
1	35	50
1	36	10
1	37	80
1	38	50
1	39	80
1	40	70
2	1	0
2	2	20
2	3	80
2	4	100
2	5	60
2	6	100
2	7	30
2	8	100
2	9	70
2	10	120
2	11	100
2	12	50
2	13	10
2	14	80
2	15	70
2	16	0
2	17	30
2	18	60
2	19	70
2	20	90
2	21	50
2	22	90
2	23	100
2	24	60
2	25	70
2	26	80
2	27	30
2	28	140
2	29	30
2	30	60
2	31	120
2	32	70
2	33	60
2	34	40
2	35	90
2	36	10
2	37	60
2	38	70
2	39	80
2	40	70
3	1	20
3	2	40
3	3	50
3	4	70
3	5	80
3	6	80
3	7	20
3	8	110
3	9	90
3	10	110
3	11	120
3	12	50
3	13	0
3	14	80
3	15	110
3	16	20
3	17	40
3	18	70
3	19	70
3	20	90
3	21	40
3	22	90
3	23	100
3	24	70
3	25	70
3	26	90
3	27	30
3	28	110
3	29	40
3	30	50
3	31	110
3	32	90
3	33	50
3	34	60
3	35	110
3	36	10
3	37	50
3	38	70
3	39	70
3	40	90
4	1	50
4	2	70
4	3	60
4	4	60
4	5	30
4	6	80
4	7	60
4	8	80
4	9	70
4	10	60
4	11	80
4	12	50
4	13	60
4	14	60
4	15	90
4	16	50
4	17	80
4	18	50
4	19	50
4	20	90
4	21	70
4	22	50
4	23	30
4	24	70
4	25	70
4	26	70
4	27	80
4	28	80
4	29	60
4	30	10
4	31	40
4	32	50
4	33	50
4	34	70
4	35	50
4	36	80
4	37	50
4	38	90
4	39	30
4	40	50
5	1	50
5	2	50
5	3	100
5	4	80
5	5	30
5	6	100
5	7	80
5	8	100
5	9	70
5	10	100
5	11	100
5	12	50
5	13	80
5	14	80
5	15	70
5	16	70
5	17	60
5	18	50
5	19	50
5	20	50
5	21	110
5	22	90
5	23	30
5	24	50
5	25	70
5	26	90
5	27	60
5	28	100
5	29	60
5	30	10
5	31	20
5	32	90
5	33	50
5	34	50
5	35	70
5	36	60
5	37	70
5	38	50
5	39	50
5	40	70
6	1	0
6	2	0
6	3	70
6	4	70
6	5	80
6	6	80
6	7	20
6	8	110
6	9	50
6	10	90
6	11	120
6	12	50
6	13	0
6	14	80
6	15	70
6	16	20
6	17	20
6	18	50
6	19	70
6	20	70
6	21	40
6	22	110
6	23	100
6	24	50
6	25	90
6	26	90
6	27	10
6	28	90
6	29	20
6	30	50
6	31	90
6	32	90
6	33	50
6	34	20
6	35	90
6	36	10
6	37	50
6	38	50
6	39	70
6	40	70
7	1	70
7	2	70
7	3	50
7	4	50
7	5	20
7	6	50
7	7	50
7	8	70
7	9	70
7	10	70
7	11	70
7	12	50
7	13	50
7	14	50
7	15	90
7	16	70
7	17	70
7	18	70
7	19	50
7	20	50
7	21	50
7	22	50
7	23	0
7	24	70
7	25	50
7	26	70
7	27	50
7	28	50
7	29	70
7	30	0
7	31	0
7	32	70
7	33	50
7	34	70
7	35	70
7	36	50
7	37	50
7	38	50
7	39	0
7	40	70
8	1	70
8	2	70
8	3	80
8	4	80
8	5	50
8	6	80
8	7	100
8	8	120
8	9	90
8	10	120
8	11	120
8	12	50
8	13	80
8	14	100
8	15	90
8	16	90
8	17	80
8	18	70
8	19	70
8	20	70
8	21	110
8	22	110
8	23	50
8	24	50
8	25	90
8	26	110
8	27	60
8	28	100
8	29	100
8	30	10
8	31	40
8	32	110
8	33	50
8	34	90
8	35	110
8	36	60
8	37	70
8	38	50
8	39	50
8	40	110
9	1	70
9	2	70
9	3	60
9	4	60
9	5	30
9	6	60
9	7	80
9	8	80
9	9	90
9	10	100
9	11	80
9	12	50
9	13	80
9	14	80
9	15	70
9	16	70
9	17	60
9	18	80
9	19	70
9	20	50
9	21	100
9	22	70
9	23	30
9	24	60
9	25	50
9	26	100
9	27	80
9	28	80
9	29	100
9	30	10
9	31	30
9	32	110
9	33	80
9	34	70
9	35	90
9	36	60
9	37	80
9	38	50
9	39	30
9	40	90
10	1	0
10	2	20
10	3	70
10	4	90
10	5	50
10	6	90
10	7	40
10	8	90
10	9	90
10	10	110
10	11	90
10	12	50
10	13	20
10	14	90
10	15	70
10	16	0
10	17	20
10	18	50
10	19	70
10	20	90
10	21	60
10	22	90
10	23	90
10	24	50
10	25	70
10	26	70
10	27	20
10	28	130
10	29	20
10	30	50
10	31	110
10	32	70
10	33	50
10	34	40
10	35	90
10	36	0
10	37	70
10	38	70
10	39	90
10	40	90
11	1	20
11	2	20
11	3	100
11	4	100
11	5	80
11	6	100
11	7	30
11	8	120
11	9	50
11	10	120
11	11	120
11	12	70
11	13	10
11	14	80
11	15	70
11	16	40
11	17	30
11	18	80
11	19	70
11	20	70
11	21	50
11	22	130
11	23	100
11	24	60
11	25	90
11	26	100
11	27	10
11	28	120
11	29	30
11	30	80
11	31	100
11	32	90
11	33	60
11	34	40
11	35	110
11	36	10
11	37	60
11	38	50
11	39	80
11	40	70
12	1	50
12	2	50
12	3	60
12	4	60
12	5	30
12	6	60
12	7	60
12	8	100
12	9	50
12	10	80
12	11	100
12	12	50
12	13	60
12	14	60
12	15	70
12	16	50
12	17	80
12	18	50
12	19	50
12	20	70
12	21	70
12	22	70
12	23	50
12	24	70
12	25	70
12	26	90
12	27	60
12	28	80
12	29	60
12	30	10
12	31	40
12	32	70
12	33	50
12	34	50
12	35	70
12	36	80
12	37	50
12	38	70
12	39	10
12	40	50
13	1	20
13	2	40
13	3	80
13	4	60
13	5	100
13	6	100
13	7	30
13	8	100
13	9	110
13	10	100
13	11	100
13	12	50
13	13	30
13	14	80
13	15	110
13	16	40
13	17	10
13	18	80
13	19	70
13	20	70
13	21	90
13	22	90
13	23	80
13	24	60
13	25	70
13	26	120
13	27	50
13	28	100
13	29	50
13	30	60
13	31	100
13	32	130
13	33	80
13	34	40
13	35	90
13	36	10
13	37	80
13	38	70
13	39	120
13	40	90
14	1	70
14	2	70
14	3	90
14	4	70
14	5	40
14	6	90
14	7	50
14	8	70
14	9	70
14	10	90
14	11	70
14	12	50
14	13	50
14	14	50
14	15	90
14	16	90
14	17	50
14	18	70
14	19	50
14	20	50
14	21	70
14	22	70
14	23	0
14	24	50
14	25	70
14	26	90
14	27	50
14	28	70
14	29	70
14	30	0
14	31	0
14	32	90
14	33	50
14	34	70
14	35	70
14	36	50
14	37	50
14	38	50
14	39	20
14	40	70
15	1	0
15	2	20
15	3	80
15	4	60
15	5	100
15	6	100
15	7	10
15	8	100
15	9	70
15	10	60
15	11	100
15	12	50
15	13	10
15	14	60
15	15	110
15	16	20
15	17	30
15	18	50
15	19	50
15	20	90
15	21	40
15	22	70
15	23	80
15	24	70
15	25	90
15	26	90
15	27	30
15	28	80
15	29	10
15	30	60
15	31	90
15	32	70
15	33	50
15	34	20
15	35	50
15	36	30
15	37	50
15	38	90
15	39	100
15	40	50
16	1	0
16	2	0
16	3	50
16	4	50
16	5	50
16	6	50
16	7	0
16	8	70
16	9	50
16	10	50
16	11	70
16	12	50
16	13	0
16	14	50
16	15	70
16	16	0
16	17	20
16	18	50
16	19	50
16	20	50
16	21	0
16	22	50
16	23	50
16	24	70
16	25	50
16	26	50
16	27	0
16	28	50
16	29	0
16	30	50
16	31	50
16	32	50
16	33	50
16	34	0
16	35	50
16	36	0
16	37	50
16	38	50
16	39	50
16	40	50
17	1	70
17	2	70
17	3	100
17	4	80
17	5	50
17	6	100
17	7	60
17	8	100
17	9	70
17	10	120
17	11	100
17	12	50
17	13	60
17	14	60
17	15	90
17	16	90
17	17	60
17	18	80
17	19	50
17	20	50
17	21	100
17	22	90
17	23	30
17	24	60
17	25	70
17	26	120
17	27	60
17	28	100
17	29	80
17	30	10
17	31	30
17	32	110
17	33	60
17	34	70
17	35	90
17	36	60
17	37	60
17	38	50
17	39	30
17	40	70
18	1	20
18	2	20
18	3	80
18	4	80
18	5	100
18	6	80
18	7	50
18	8	140
18	9	90
18	10	120
18	11	140
18	12	50
18	13	30
18	14	100
18	15	110
18	16	40
18	17	50
18	18	80
18	19	70
18	20	70
18	21	70
18	22	110
18	23	100
18	24	80
18	25	90
18	26	120
18	27	10
18	28	100
18	29	50
18	30	60
18	31	100
18	32	110
18	33	60
18	34	40
18	35	110
18	36	10
18	37	80
18	38	50
18	39	100
18	40	110
19	1	50
19	2	50
19	3	60
19	4	60
19	5	10
19	6	60
19	7	80
19	8	60
19	9	70
19	10	60
19	11	60
19	12	50
19	13	80
19	14	80
19	15	50
19	16	50
19	17	60
19	18	60
19	19	50
19	20	50
19	21	80
19	22	50
19	23	10
19	24	60
19	25	50
19	26	60
19	27	60
19	28	60
19	29	60
19	30	10
19	31	10
19	32	50
19	33	60
19	34	50
19	35	50
19	36	60
19	37	80
19	38	50
19	39	30
19	40	70
20	1	50
20	2	70
20	3	80
20	4	80
20	5	30
20	6	100
20	7	80
20	8	120
20	9	70
20	10	80
20	11	120
20	12	50
20	13	60
20	14	80
20	15	110
20	16	70
20	17	100
20	18	60
20	19	70
20	20	90
20	21	100
20	22	90
20	23	30
20	24	80
20	25	90
20	26	80
20	27	80
20	28	100
20	29	80
20	30	10
20	31	50
20	32	70
20	33	60
20	34	90
20	35	70
20	36	60
20	37	60
20	38	70
20	39	50
20	40	70
21	1	20
21	2	40
21	3	80
21	4	100
21	5	60
21	6	100
21	7	30
21	8	100
21	9	70
21	10	120
21	11	100
21	12	70
21	13	10
21	14	80
21	15	70
21	16	20
21	17	30
21	18	70
21	19	70
21	20	90
21	21	40
21	22	110
21	23	100
21	24	50
21	25	70
21	26	70
21	27	30
21	28	140
21	29	30
21	30	80
21	31	110
21	32	70
21	33	50
21	34	60
21	35	110
21	36	10
21	37	50
21	38	70
21	39	80
21	40	70
22	1	50
22	2	70
22	3	60
22	4	80
22	5	30
22	6	80
22	7	80
22	8	120
22	9	70
22	10	100
22	11	120
22	12	50
22	13	60
22	14	80
22	15	90
22	16	50
22	17	100
22	18	50
22	19	70
22	20	110
22	21	90
22	22	90
22	23	70
22	24	70
22	25	90
22	26	90
22	27	80
22	28	120
22	29	80
22	30	10
22	31	80
22	32	70
22	33	50
22	34	90
22	35	90
22	36	80
22	37	50
22	38	90
22	39	30
22	40	70
23	1	70
23	2	70
23	3	80
23	4	80
23	5	50
