p	ad_min	ad_max
1	0	0
2	0	34
3	0	0
4	0	22
5	0	0
6	0	0
7	0	3
8	0	0
9	0	53
10	0	42
11	33	33
12	23	34
13	4	23
14	19	31
15	46	46
16	13	22
17	33	52
18	18	21
19	46	46
20	31	31
21	32	32
22	45	45
23	30	30
24	17	23
25	24	48
26	11	11
27	40	40
28	36	36
29	47	47
30	23	40
31	7	7
32	51	51
33	5	9
34	25	25
35	2	2
36	6	29
37	43	43
38	22	48
39	26	26
40	39	39
41	17	17
42	15	15
43	29	43
44	48	48
45	2	4
46	33	33
47	31	31
48	29	29
49	19	41
50	7	7
51	3	37
52	49	49
53	32	32
54	51	52
55	49	49
56	1	1
57	14	15
58	42	42
59	11	11
60	3	3
61	7	7
62	52	52
63	16	16
64	15	15
65	37	51
66	30	44
67	38	45
68	43	54
69	25	35
70	0	0
71	38	41
72	10	53
73	5	5
74	12	12
75	49	52
76	32	41
77	27	27
78	43	43
79	27	27
80	48	49
81	40	40
82	3	3
83	31	31
84	1	36
85	2	2
86	26	26
87	4	26
88	41	41
89	15	15
90	46	47
91	6	6
92	40	40
93	3	3
94	8	24
95	42	42
96	33	33
97	26	26
98	1	14
99	36	36
100	48	48
101	40	40
102	18	18
103	13	15
104	30	46
105	51	51
106	9	9
107	53	53
108	15	15
109	20	20
110	39	44
111	29	49
112	14	19
113	55	55
114	39	39
115	7	7
116	25	45
117	2	37
118	16	24
119	27	27
120	33	34
121	7	7
122	36	43
123	33	33
124	19	19
125	4	11
126	35	35
127	18	18
128	47	50
129	11	33
130	22	22
131	6	7
132	36	51
133	31	31
134	15	15
135	5	5
136	35	43
137	17	22
138	48	48
139	44	49
140	34	46
141	18	18
142	9	16
143	50	50
144	29	39
145	50	51
146	30	35
147	4	9
148	54	54
149	30	48
150	48	53
151	24	24
152	27	33
153	55	55
154	12	12
155	7	7
156	23	23
157	8	8
158	14	14
159	7	44
160	24	24
161	55	55
162	38	38
163	3	3
164	22	22
165	18	18
166	40	40
167	12	12
168	20	23
169	2	10
170	47	47
171	50	50
172	54	54
173	33	33
174	40	45
175	49	53
176	45	45
177	36	48
178	5	5
179	31	45
180	34	43
181	53	54
182	53	53
183	21	42
184	26	43
185	14	14
186	28	28
187	10	10
188	18	18
189	20	20
190	22	49
191	34	48
192	24	24
193	36	36
194	47	47
195	37	46
196	28	28
197	37	39
198	0	0
199	18	52
200	1	1
