p	r	C_pr
1	1	50
1	2	50
1	3	50
1	4	50
1	5	90
1	6	70
1	7	50
1	8	50
2	1	50
2	2	60
2	3	10
2	4	50
2	5	50
2	6	60
2	7	20
2	8	50
3	1	50
3	2	60
3	3	10
3	4	50
3	5	70
3	6	80
3	7	0
3	8	50
4	1	70
4	2	80
4	3	30
4	4	70
4	5	70
4	6	80
4	7	20
4	8	70
5	1	70
5	2	70
5	3	20
5	4	70
5	5	70
5	6	90
5	7	40
5	8	70
6	1	50
6	2	50
6	3	60
6	4	50
6	5	50
6	6	50
6	7	50
6	8	50
7	1	50
7	2	50
7	3	10
7	4	50
7	5	90
7	6	50
7	7	20
7	8	50
8	1	50
8	2	50
8	3	0
8	4	50
8	5	70
8	6	50
8	7	0
8	8	50
9	1	50
9	2	50
9	3	60
9	4	50
9	5	90
9	6	70
9	7	50
9	8	50
10	1	50
10	2	50
10	3	10
10	4	50
10	5	50
10	6	70
10	7	0
10	8	50
11	1	70
11	2	70
11	3	70
11	4	70
11	5	90
11	6	70
11	7	70
11	8	70
12	1	70
12	2	70
12	3	30
12	4	70
12	5	90
12	6	70
12	7	40
12	8	70
13	1	70
13	2	80
13	3	80
13	4	70
13	5	70
13	6	80
13	7	70
13	8	70
14	1	50
14	2	50
14	3	10
14	4	50
14	5	50
14	6	70
14	7	20
14	8	50
15	1	50
15	2	50
15	3	10
15	4	50
15	5	90
15	6	70
15	7	0
15	8	50
16	1	50
16	2	50
16	3	50
16	4	50
16	5	50
16	6	50
16	7	70
16	8	50
17	1	50
17	2	60
17	3	60
17	4	50
17	5	70
17	6	60
17	7	70
17	8	50
18	1	50
18	2	50
18	3	60
18	4	50
18	5	50
18	6	70
18	7	50
18	8	50
19	1	50
19	2	60
19	3	60
19	4	50
19	5	70
19	6	60
19	7	50
19	8	50
20	1	50
20	2	60
20	3	10
20	4	50
20	5	70
20	6	80
20	7	0
20	8	50
21	1	50
21	2	60
21	3	10
21	4	50
21	5	90
21	6	80
21	7	20
21	8	50
22	1	50
22	2	60
22	3	60
22	4	50
22	5	50
22	6	60
22	7	50
22	8	50
23	1	50
23	2	60
23	3	10
23	4	50
23	5	90
23	6	80
23	7	20
23	8	50
24	1	50
24	2	60
24	3	10
24	4	50
24	5	50
24	6	60
24	7	0
24	8	50
25	1	50
25	2	60
25	3	10
25	4	50
25	5	70
25	6	60
25	7	0
25	8	50
26	1	50
26	2	50
26	3	60
26	4	50
26	5	70
26	6	70
26	7	50
26	8	50
27	1	50
27	2	60
27	3	60
27	4	50
27	5	70
27	6	60
27	7	70
27	8	50
28	1	50
28	2	50
28	3	50
28	4	50
28	5	70
28	6	70
28	7	70
28	8	50
29	1	50
29	2	60
29	3	10
29	4	50
29	5	50
29	6	80
29	7	20
29	8	50
30	1	50
30	2	50
30	3	50
30	4	50
30	5	70
30	6	70
30	7	70
30	8	50
31	1	70
31	2	70
31	3	80
31	4	70
31	5	90
31	6	70
31	7	90
31	8	70
32	1	50
32	2	60
32	3	10
32	4	50
32	5	70
32	6	80
32	7	20
32	8	50
33	1	50
33	2	50
33	3	0
33	4	50
33	5	50
33	6	50
33	7	0
33	8	50
34	1	70
34	2	70
34	3	80
34	4	70
34	5	70
34	6	90
34	7	90
34	8	70
35	1	70
35	2	70
35	3	70
35	4	70
35	5	90
35	6	90
35	7	70
35	8	70
36	1	70
36	2	80
36	3	80
36	4	70
36	5	90
36	6	100
36	7	70
36	8	70
37	1	70
37	2	80
37	3	80
37	4	70
37	5	110
37	6	80
37	7	90
37	8	70
38	1	50
38	2	60
38	3	10
38	4	50
38	5	70
38	6	60
38	7	0
38	8	50
39	1	70
39	2	80
39	3	80
39	4	70
39	5	70
39	6	100
39	7	90
39	8	70
40	1	70
40	2	70
40	3	20
40	4	70
40	5	110
40	6	90
40	7	20
40	8	70
41	1	50
41	2	60
41	3	60
41	4	50
41	5	90
41	6	60
41	7	50
41	8	50
42	1	70
42	2	70
42	3	80
42	4	70
42	5	90
42	6	90
42	7	70
42	8	70
43	1	50
43	2	50
43	3	50
43	4	50
43	5	90
43	6	50
43	7	50
43	8	50
44	1	50
44	2	50
44	3	0
44	4	50
44	5	50
44	6	50
44	7	0
44	8	50
45	1	70
45	2	80
45	3	80
45	4	70
45	5	110
45	6	80
45	7	70
45	8	70
46	1	70
46	2	80
46	3	30
46	4	70
46	5	90
46	6	100
46	7	40
46	8	70
47	1	50
47	2	60
47	3	60
47	4	50
47	5	90
47	6	80
47	7	70
47	8	50
48	1	50
48	2	50
48	3	10
48	4	50
48	5	70
48	6	50
48	7	0
48	8	50
49	1	50
49	2	60
49	3	10
49	4	50
49	5	50
49	6	60
49	7	20
49	8	50
50	1	50
50	2	60
50	3	10
50	4	50
50	5	90
50	6	80
50	7	0
50	8	50
