p	r	C_pr
1	1	50
1	2	60
1	3	60
1	4	80
1	5	80
1	6	70
1	7	50
1	8	50
2	1	70
2	2	20
2	3	80
2	4	90
2	5	70
2	6	90
2	7	70
2	8	70
3	1	70
3	2	70
3	3	80
3	4	70
3	5	70
3	6	70
3	7	20
3	8	20
4	1	50
4	2	0
4	3	50
4	4	70
4	5	50
4	6	70
4	7	70
4	8	70
5	1	70
5	2	30
5	3	80
5	4	80
5	5	90
5	6	70
5	7	90
5	8	90
6	1	50
6	2	60
6	3	60
6	4	60
6	5	50
6	6	50
6	7	20
6	8	20
7	1	50
7	2	10
7	3	60
7	4	60
7	5	50
7	6	50
7	7	50
7	8	50
8	1	50
8	2	0
8	3	60
8	4	70
8	5	50
8	6	70
8	7	50
8	8	50
9	1	50
9	2	0
9	3	60
9	4	50
9	5	70
9	6	50
9	7	70
9	8	70
10	1	50
10	2	0
10	3	60
10	4	70
10	5	70
10	6	70
10	7	70
10	8	70
11	1	50
11	2	0
11	3	50
11	4	70
11	5	70
11	6	70
11	7	70
11	8	70
12	1	50
12	2	10
12	3	60
12	4	60
12	5	50
12	6	50
12	7	70
12	8	70
13	1	50
13	2	60
13	3	60
13	4	80
13	5	50
13	6	70
13	7	20
13	8	20
14	1	50
14	2	50
14	3	50
14	4	70
14	5	50
14	6	70
14	7	0
14	8	0
15	1	70
15	2	70
15	3	70
15	4	70
15	5	90
15	6	70
15	7	40
15	8	40
16	1	50
16	2	60
16	3	60
16	4	60
16	5	70
16	6	50
16	7	20
16	8	20
17	1	50
17	2	0
17	3	50
17	4	70
17	5	50
17	6	70
17	7	70
17	8	70
18	1	50
18	2	60
18	3	60
18	4	60
18	5	60
18	6	50
18	7	30
18	8	30
19	1	50
19	2	10
19	3	60
19	4	80
19	5	60
19	6	70
19	7	80
19	8	80
20	1	70
20	2	70
20	3	70
20	4	70
20	5	90
20	6	70
20	7	60
20	8	60
21	1	50
21	2	10
21	3	60
21	4	60
21	5	80
21	6	50
21	7	80
21	8	80
22	1	50
22	2	50
22	3	60
22	4	50
22	5	50
22	6	50
22	7	20
22	8	20
23	1	50
23	2	0
23	3	50
23	4	50
23	5	50
23	6	50
23	7	50
23	8	50
24	1	70
24	2	20
24	3	80
24	4	90
24	5	70
24	6	90
24	7	90
24	8	90
25	1	50
25	2	60
25	3	60
25	4	60
25	5	50
25	6	50
25	7	20
25	8	20
26	1	50
26	2	10
26	3	60
26	4	60
26	5	70
26	6	50
26	7	90
26	8	90
27	1	50
27	2	50
27	3	50
27	4	50
27	5	70
27	6	50
27	7	20
27	8	20
28	1	50
28	2	10
28	3	60
28	4	80
28	5	70
28	6	70
28	7	70
28	8	70
29	1	50
29	2	50
29	3	50
29	4	50
29	5	50
29	6	50
29	7	0
29	8	0
30	1	50
30	2	50
30	3	50
30	4	70
30	5	50
30	6	70
30	7	0
30	8	0
31	1	50
31	2	0
31	3	50
31	4	70
31	5	70
31	6	70
31	7	90
31	8	90
32	1	50
32	2	60
32	3	60
32	4	60
32	5	70
32	6	50
32	7	40
32	8	40
33	1	50
33	2	60
33	3	60
33	4	80
33	5	80
33	6	70
33	7	50
33	8	50
34	1	50
34	2	50
34	3	60
34	4	70
34	5	70
34	6	70
34	7	20
34	8	20
35	1	50
35	2	0
35	3	60
35	4	50
35	5	50
35	6	50
35	7	50
35	8	50
36	1	50
36	2	10
36	3	60
36	4	60
36	5	60
36	6	50
36	7	60
36	8	60
37	1	50
37	2	10
37	3	60
37	4	60
37	5	50
37	6	50
37	7	70
37	8	70
38	1	50
38	2	50
38	3	50
