p	ad_min	ad_max
1	0	10
2	0	0
3	0	7
4	0	0
5	0	1
6	0	6
7	0	0
8	0	6
9	0	0
10	0	0
11	0	0
12	0	3
13	9	9
14	4	4
15	1	1
16	11	11
17	3	5
18	2	12
19	4	7
20	12	12
21	0	11
22	7	7
23	11	11
24	11	11
25	11	11
26	0	7
27	6	6
28	5	5
29	5	5
30	3	3
31	10	10
32	4	8
33	13	13
34	5	6
35	1	1
36	0	0
37	7	7
38	13	13
39	6	6
40	4	4
41	8	8
42	6	7
43	3	3
44	0	0
45	11	11
46	0	5
47	3	7
48	5	5
49	4	4
50	0	0
51	3	8
52	5	5
53	12	12
54	13	13
55	4	4
56	10	11
57	12	12
58	11	11
59	11	12
60	5	12
61	8	8
62	1	1
63	11	11
64	1	1
65	13	13
66	3	7
67	5	5
68	4	6
69	10	10
70	6	6
71	12	12
72	2	2
73	1	3
74	5	5
75	9	9
76	2	2
77	1	1
78	12	12
79	4	11
80	9	9
81	7	7
82	2	2
83	4	7
84	9	9
85	2	4
86	12	12
87	4	4
88	1	1
89	5	5
90	1	1
91	5	8
92	12	12
93	12	12
94	13	13
95	4	4
96	2	2
97	8	8
98	8	8
99	11	11
100	7	7
101	8	9
102	5	5
103	11	11
104	4	4
105	2	2
106	0	0
107	4	9
108	5	5
109	10	10
110	9	9
111	2	2
112	10	10
113	1	1
114	3	7
115	8	9
116	4	4
117	1	3
118	7	7
119	3	3
120	13	13
121	0	0
122	12	12
123	7	7
124	6	6
125	12	12
126	9	9
127	11	11
128	12	12
129	1	1
130	13	13
131	2	10
132	7	7
133	10	10
134	11	11
135	8	8
136	2	2
137	9	9
138	4	7
139	10	10
140	1	1
141	6	7
142	9	9
143	3	3
144	1	1
145	11	11
146	1	6
147	3	7
148	11	11
149	8	8
150	2	5
151	4	4
152	7	7
153	8	8
154	12	12
155	5	6
156	13	13
157	10	10
158	1	1
159	10	10
160	5	5
161	9	9
162	4	4
163	3	3
164	11	11
165	1	1
166	2	2
167	2	7
168	3	3
169	5	10
170	12	12
171	1	6
172	3	3
173	3	3
174	11	11
175	0	1
176	1	1
177	9	9
178	2	2
179	5	5
180	11	12
181	8	8
182	0	4
183	8	8
184	2	2
185	2	3
186	11	11
187	1	7
188	8	8
189	6	10
190	5	5
191	1	1
192	4	9
193	11	11
194	12	12
195	1	1
196	12	12
197	12	12
198	13	13
199	12	12
200	0	0
201	9	9
202	11	11
203	9	12
204	5	10
205	9	10
206	3	3
207	4	11
208	0	3
209	11	11
210	10	10
211	1	7
212	13	13
213	3	3
214	5	8
215	1	1
216	8	11
217	13	13
218	10	10
219	5	5
220	13	13
221	10	10
222	13	13
223	5	5
224	3	3
225	0	0
226	6	8
227	3	3
228	2	7
229	6	7
230	0	0
231	8	8
232	11	11
233	9	9
234	5	7
235	1	1
236	1	5
237	1	1
238	10	12
239	4	4
240	8	8
241	7	10
242	2	2
243	7	7
244	8	9
245	5	8
246	7	7
247	12	12
248	9	9
249	6	6
250	5	6
