p	L_p
1	5
2	4
3	1
4	5
5	1
6	2
7	5
8	3
9	2
10	1
11	1
12	2
13	7
14	2
15	3
16	8
17	4
18	6
19	10
20	2
21	3
22	3
23	3
24	5
25	1
26	3
27	4
28	3
29	3
30	2
31	4
32	3
33	2
34	3
35	3
36	5
37	2
38	3
39	7
40	10
41	7
42	3
43	3
44	4
45	1
46	10
47	6
48	3
49	10
50	3
51	4
52	9
53	9
54	5
55	7
56	3
57	5
58	2
59	8
60	1
61	2
62	3
63	6
64	2
65	10
66	1
67	4
68	4
69	4
70	3
71	7
72	1
73	7
74	10
75	3
76	7
77	6
78	2
79	1
80	6
81	6
82	1
83	5
84	4
85	2
86	2
87	4
88	2
89	2
90	3
91	7
92	3
93	1
94	3
95	6
96	1
97	3
98	1
99	3
100	3
101	2
102	9
103	2
104	9
105	3
106	3
107	3
108	2
109	3
110	1
111	6
112	1
113	10
114	1
115	5
116	8
117	3
118	2
119	9
120	4
121	1
122	1
123	2
124	2
125	5
126	2
127	6
128	1
129	2
130	6
131	2
132	9
133	7
134	1
135	9
136	3
137	4
138	2
139	2
140	3
141	7
142	3
143	1
144	2
145	3
146	5
147	5
148	3
149	3
150	3
151	2
152	9
153	1
154	1
155	3
156	2
157	3
158	1
159	3
160	1
161	3
162	2
163	4
164	6
165	5
166	1
167	3
168	2
169	1
170	1
171	2
172	8
173	2
174	5
175	1
176	8
177	2
178	1
179	4
180	1
181	10
182	2
183	4
184	6
185	4
186	6
187	3
188	10
189	2
190	7
191	2
192	7
193	1
194	2
195	3
196	2
197	8
198	3
199	7
200	1
201	8
202	3
203	2
204	6
205	7
206	3
207	8
208	2
209	9
210	7
211	1
212	7
213	2
214	5
215	4
216	5
217	5
218	5
219	1
220	2
221	8
222	4
223	3
224	5
225	8
226	1
227	3
228	3
229	8
230	3
231	2
232	4
233	7
234	4
235	3
236	3
237	3
238	8
239	2
240	2
241	8
242	3
243	2
244	3
245	5
246	2
247	3
248	3
249	4
250	8
