p	r	R_p
1	1	1
1	2	1
1	3	0
1	4	0
1	5	1
1	6	1
1	7	0
1	8	0
2	1	1
2	2	1
2	3	0
2	4	0
2	5	1
2	6	1
2	7	1
2	8	0
3	1	1
3	2	1
3	3	0
3	4	0
3	5	1
3	6	1
3	7	1
3	8	0
4	1	0
4	2	1
4	3	1
4	4	1
4	5	0
4	6	1
4	7	1
4	8	1
5	1	1
5	2	1
5	3	0
5	4	0
5	5	1
5	6	1
5	7	1
5	8	0
6	1	1
6	2	0
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
7	1	1
7	2	1
7	3	0
7	4	0
7	5	1
7	6	1
7	7	1
7	8	0
8	1	0
8	2	1
8	3	1
8	4	1
8	5	0
8	6	1
8	7	1
8	8	1
9	1	1
9	2	1
9	3	0
9	4	0
9	5	1
9	6	1
9	7	1
9	8	0
10	1	0
10	2	1
10	3	1
10	4	1
10	5	0
10	6	1
10	7	1
10	8	1
11	1	0
11	2	1
11	3	1
11	4	1
11	5	0
11	6	1
11	7	1
11	8	1
12	1	1
12	2	0
12	3	1
12	4	1
12	5	1
12	6	1
12	7	1
12	8	1
13	1	1
13	2	0
13	3	1
13	4	1
13	5	1
13	6	1
13	7	1
13	8	1
14	1	1
14	2	0
14	3	1
14	4	0
14	5	1
14	6	1
14	7	0
14	8	1
15	1	1
15	2	1
15	3	0
15	4	0
15	5	1
15	6	1
15	7	1
15	8	0
16	1	1
16	2	0
16	3	1
16	4	1
16	5	1
16	6	1
16	7	1
16	8	1
17	1	1
17	2	0
17	3	1
17	4	1
17	5	1
17	6	1
17	7	1
17	8	1
18	1	1
18	2	1
18	3	0
18	4	0
18	5	1
18	6	1
18	7	0
18	8	0
19	1	1
19	2	0
19	3	1
19	4	1
19	5	1
19	6	1
19	7	1
19	8	1
20	1	1
20	2	1
20	3	0
20	4	0
20	5	1
20	6	1
20	7	1
20	8	0
21	1	1
21	2	0
21	3	1
21	4	0
21	5	0
21	6	1
21	7	0
21	8	1
22	1	1
22	2	1
22	3	0
22	4	0
22	5	1
22	6	1
22	7	1
22	8	0
23	1	0
23	2	1
23	3	1
23	4	1
23	5	0
23	6	1
23	7	1
23	8	1
24	1	0
24	2	1
24	3	1
24	4	0
24	5	0
24	6	1
24	7	1
24	8	1
25	1	1
25	2	0
25	3	1
25	4	1
25	5	1
25	6	1
25	7	1
25	8	1
26	1	1
26	2	1
26	3	0
26	4	0
26	5	1
26	6	1
26	7	1
26	8	0
27	1	1
27	2	1
27	3	0
27	4	0
27	5	0
27	6	1
27	7	0
27	8	0
28	1	1
28	2	1
28	3	0
28	4	0
28	5	1
28	6	1
28	7	1
28	8	0
29	1	1
29	2	1
29	3	0
29	4	0
29	5	1
29	6	1
29	7	1
29	8	0
30	1	1
30	2	0
30	3	1
30	4	1
30	5	1
30	6	1
30	7	1
30	8	1
31	1	0
31	2	1
31	3	1
31	4	1
31	5	0
31	6	1
31	7	1
31	8	1
32	1	1
32	2	0
32	3	1
32	4	1
32	5	1
32	6	1
32	7	1
32	8	1
33	1	1
33	2	0
33	3	1
33	4	1
33	5	1
33	6	1
33	7	1
33	8	1
34	1	1
34	2	0
34	3	1
34	4	1
34	5	1
34	6	1
34	7	1
34	8	1
35	1	1
35	2	0
35	3	1
35	4	1
35	5	0
35	6	1
35	7	0
35	8	1
36	1	1
36	2	0
36	3	1
36	4	1
36	5	1
36	6	1
36	7	1
36	8	1
37	1	1
37	2	0
37	3	1
37	4	1
37	5	1
37	6	1
37	7	1
37	8	1
38	1	0
38	2	1
