p	L_p
1	4
2	2
3	1
4	2
5	1
6	3
7	2
8	3
9	2
10	1
11	4
12	1
13	4
14	10
15	8
16	1
17	1
18	4
19	3
20	6
21	5
22	2
23	3
24	2
25	8
26	1
27	6
28	2
29	3
30	4
31	4
32	9
33	1
34	4
35	2
36	2
37	3
38	5
39	3
40	9
41	3
42	2
43	4
44	1
45	10
46	10
47	3
48	2
49	2
50	5
51	10
52	2
53	4
54	1
55	2
56	2
57	1
58	4
59	8
60	6
61	3
62	1
63	3
64	7
65	6
66	3
67	3
68	2
69	2
70	3
71	7
72	7
73	7
74	2
75	2
76	4
77	3
78	3
79	6
80	4
81	1
82	2
83	2
84	4
85	10
86	3
87	9
88	2
89	4
90	1
91	6
92	1
93	5
94	4
95	2
96	3
97	3
98	2
99	4
100	4
101	8
102	4
103	10
104	2
105	6
106	3
107	6
108	3
109	10
110	8
111	2
112	1
113	2
114	7
115	2
116	9
117	4
118	2
119	9
120	2
121	4
122	9
123	2
124	5
125	3
126	1
127	5
128	2
129	2
130	4
131	3
132	2
133	3
134	5
135	2
136	1
137	1
138	9
139	3
140	1
141	2
142	3
143	3
144	1
145	3
146	3
147	4
148	6
149	3
150	4
151	8
152	2
153	3
154	3
155	8
156	3
157	3
158	2
159	7
160	6
161	2
162	2
163	3
164	5
165	1
166	7
167	2
168	2
169	5
170	5
171	2
172	6
173	2
174	2
175	3
176	8
177	8
178	8
179	2
180	2
181	3
182	3
183	4
184	3
185	3
186	4
187	1
188	6
189	1
190	9
191	3
192	1
193	1
194	9
195	2
196	8
197	7
198	1
199	2
200	4
201	3
202	1
203	5
204	4
205	2
206	4
207	2
208	3
209	3
210	1
211	3
212	1
213	2
214	5
215	8
216	3
217	1
218	3
219	4
220	5
221	3
222	3
223	5
224	9
225	4
226	9
227	2
228	3
229	7
230	2
231	1
232	7
233	1
234	1
235	1
236	6
237	7
238	3
239	3
240	5
241	2
242	2
243	5
244	2
245	7
246	8
247	2
248	2
249	3
250	2
