p	ad_min	ad_max
1	0	0
2	0	0
3	0	15
4	0	7
5	0	0
6	10	10
7	25	26
8	15	19
9	0	21
10	10	10
11	17	17
12	17	18
13	1	1
14	11	11
15	25	25
16	6	12
17	20	20
18	3	12
19	15	15
20	22	22
21	25	25
22	10	10
23	4	4
24	18	18
25	0	19
26	19	21
27	21	24
28	23	23
29	21	21
30	6	6
31	3	3
32	4	5
33	14	14
34	3	18
35	2	2
36	15	24
37	7	12
38	21	21
39	2	2
40	14	22
41	21	21
42	8	8
43	14	17
44	18	22
45	15	24
46	13	26
47	11	11
48	1	1
49	12	16
50	2	2
51	23	23
52	26	26
53	5	21
54	7	12
55	3	3
56	6	6
57	1	5
58	21	21
59	23	23
60	1	1
61	25	25
62	24	24
63	17	17
64	14	14
65	23	23
66	24	24
67	13	20
68	27	27
69	22	22
70	16	19
71	16	16
72	24	24
73	20	22
74	2	17
75	18	22
76	0	14
77	13	13
78	5	5
79	27	27
80	0	3
81	2	5
82	1	14
83	20	20
84	7	15
85	2	12
86	1	10
87	23	23
88	0	0
89	10	10
90	15	15
91	13	13
92	26	26
93	19	19
94	12	12
95	27	27
96	14	14
97	15	15
98	12	12
99	13	13
100	4	7
