p	r	R_p
1	1	1
1	2	0
1	3	1
1	4	0
1	5	0
1	6	1
1	7	1
1	8	0
1	9	1
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	0
1	16	0
1	17	0
1	18	1
1	19	1
1	20	0
1	21	1
1	22	0
1	23	0
1	24	0
1	25	0
1	26	0
1	27	0
1	28	0
1	29	1
1	30	0
1	31	0
1	32	1
1	33	0
1	34	0
1	35	1
1	36	0
1	37	1
1	38	1
1	39	0
1	40	0
2	1	1
2	2	0
2	3	1
2	4	1
2	5	1
2	6	1
2	7	0
2	8	0
2	9	1
2	10	1
2	11	0
2	12	0
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	0
2	19	1
2	20	1
2	21	1
2	22	0
2	23	0
2	24	0
2	25	0
2	26	0
2	27	0
2	28	1
2	29	1
2	30	0
2	31	0
2	32	0
2	33	1
2	34	0
2	35	0
2	36	1
2	37	1
2	38	0
2	39	1
2	40	0
3	1	0
3	2	1
3	3	0
3	4	1
3	5	1
3	6	0
3	7	0
3	8	1
3	9	1
3	10	1
3	11	1
3	12	1
3	13	1
3	14	1
3	15	1
3	16	1
3	17	1
3	18	0
3	19	0
3	20	1
3	21	0
3	22	1
3	23	1
3	24	1
3	25	1
3	26	1
3	27	1
3	28	1
3	29	1
3	30	1
3	31	1
3	32	0
3	33	1
3	34	1
3	35	1
3	36	1
3	37	1
3	38	0
3	39	1
3	40	1
4	1	1
4	2	0
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	0
4	10	1
4	11	1
4	12	1
4	13	1
4	14	1
4	15	1
4	16	1
4	17	1
4	18	1
4	19	1
4	20	0
4	21	1
4	22	1
4	23	1
4	24	1
4	25	1
4	26	1
4	27	0
4	28	0
4	29	0
4	30	1
4	31	1
4	32	1
4	33	1
4	34	1
4	35	0
4	36	1
4	37	0
4	38	1
4	39	1
4	40	1
5	1	1
5	2	0
5	3	1
5	4	1
5	5	1
5	6	1
5	7	1
5	8	1
5	9	0
5	10	1
5	11	1
5	12	1
5	13	1
5	14	1
5	15	1
5	16	1
5	17	1
5	18	1
5	19	1
5	20	0
5	21	1
5	22	1
5	23	1
5	24	1
5	25	1
5	26	1
5	27	0
5	28	0
5	29	0
5	30	1
5	31	1
5	32	1
5	33	1
5	34	1
5	35	0
5	36	1
5	37	0
5	38	1
5	39	1
5	40	1
6	1	1
6	2	0
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	0
6	10	1
6	11	1
6	12	1
6	13	1
6	14	1
6	15	1
6	16	1
6	17	1
6	18	1
6	19	1
6	20	0
6	21	1
6	22	1
6	23	1
6	24	1
6	25	1
6	26	1
6	27	0
6	28	0
6	29	0
6	30	1
