p	r	C_pr
1	1	90
1	2	70
1	3	110
1	4	70
1	5	50
1	6	50
1	7	20
1	8	50
1	9	70
1	10	40
1	11	50
1	12	70
1	13	110
1	14	60
1	15	40
1	16	50
1	17	90
1	18	50
1	19	110
1	20	90
1	21	70
1	22	90
1	23	130
1	24	90
1	25	130
1	26	110
1	27	90
1	28	70
1	29	0
1	30	90
1	31	70
1	32	70
1	33	40
1	34	70
1	35	80
1	36	50
1	37	110
1	38	70
1	39	90
1	40	90
2	1	70
2	2	70
2	3	90
2	4	70
2	5	50
2	6	50
2	7	20
2	8	70
2	9	70
2	10	20
2	11	50
2	12	20
2	13	110
2	14	40
2	15	20
2	16	50
2	17	70
2	18	50
2	19	90
2	20	90
2	21	70
2	22	90
2	23	90
2	24	70
2	25	110
2	26	90
2	27	50
2	28	70
2	29	0
2	30	90
2	31	70
2	32	70
2	33	20
2	34	90
2	35	70
2	36	70
2	37	70
2	38	90
2	39	70
2	40	90
3	1	110
3	2	70
3	3	110
3	4	70
3	5	0
3	6	50
3	7	90
3	8	50
3	9	70
3	10	110
3	11	90
3	12	70
3	13	110
3	14	90
3	15	90
3	16	70
3	17	90
3	18	90
3	19	70
3	20	110
3	21	70
3	22	90
3	23	90
3	24	90
3	25	110
3	26	60
3	27	70
3	28	20
3	29	70
3	30	70
3	31	50
3	32	70
3	33	90
3	34	50
3	35	70
3	36	50
3	37	60
3	38	50
3	39	90
3	40	70
4	1	70
4	2	50
4	3	70
4	4	70
4	5	70
4	6	50
4	7	0
4	8	50
4	9	50
4	10	40
4	11	50
4	12	40
4	13	90
4	14	40
4	15	20
4	16	50
4	17	70
4	18	50
4	19	90
4	20	90
4	21	90
4	22	70
4	23	90
4	24	70
4	25	110
4	26	70
4	27	70
4	28	50
4	29	0
4	30	70
4	31	50
4	32	90
4	33	60
4	34	70
4	35	50
4	36	50
4	37	70
4	38	70
4	39	70
4	40	70
5	1	90
5	2	60
5	3	90
5	4	60
5	5	30
5	6	60
5	7	70
5	8	50
5	9	50
5	10	100
5	11	80
5	12	120
5	13	90
5	14	100
5	15	100
5	16	60
5	17	120
5	18	80
5	19	90
5	20	100
5	21	120
5	22	60
5	23	120
5	24	70
5	25	90
5	26	50
5	27	90
5	28	0
5	29	80
5	30	80
5	31	70
5	32	80
5	33	130
5	34	80
5	35	60
5	36	60
5	37	70
5	38	80
5	39	80
5	40	80
6	1	90
6	2	60
6	3	90
6	4	70
6	5	0
6	6	80
6	7	70
6	8	50
6	9	50
6	10	110
6	11	80
6	12	140
6	13	90
6	14	100
6	15	120
6	16	50
6	17	110
6	18	80
6	19	110
6	20	90
6	21	90
6	22	50
6	23	120
6	24	70
6	25	90
6	26	40
6	27	110
6	28	0
6	29	100
6	30	70
6	31	70
6	32	50
6	33	110
6	34	70
6	35	60
6	36	60
6	37	60
6	38	80
6	39	80
6	40	70
7	1	70
7	2	80
7	3	90
7	4	50
7	5	50
7	6	60
7	7	20
