p	Fe	Ma
1	0	1
2	0	1
3	1	0
4	0	1
5	1	0
6	1	0
7	0	1
8	1	0
9	1	0
10	0	1
11	1	0
12	1	0
13	0	1
14	1	0
15	1	0
16	1	0
17	0	1
18	0	1
19	1	0
20	1	0
21	0	1
22	1	0
23	1	0
24	1	0
25	0	1
26	1	0
27	1	0
28	0	1
29	0	1
30	0	1
31	1	0
32	1	0
33	1	0
34	1	0
35	0	1
36	1	0
37	0	1
38	1	0
39	0	1
40	1	0
41	1	0
42	0	1
43	0	1
44	0	1
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	0	1
52	0	1
53	1	0
54	1	0
55	0	1
56	0	1
57	0	1
58	1	0
59	0	1
60	0	1
61	1	0
62	0	1
63	1	0
64	1	0
65	1	0
66	0	1
67	0	1
68	1	0
69	1	0
70	0	1
71	0	1
72	0	1
73	1	0
74	1	0
75	0	1
76	0	1
77	1	0
78	0	1
79	0	1
80	0	1
81	1	0
82	1	0
83	1	0
84	0	1
85	0	1
86	1	0
87	1	0
88	1	0
89	1	0
90	1	0
91	0	1
92	1	0
93	1	0
94	1	0
95	1	0
96	0	1
97	1	0
98	0	1
99	0	1
100	1	0
101	1	0
102	1	0
103	0	1
104	1	0
105	1	0
106	1	0
107	0	1
108	1	0
109	0	1
110	0	1
111	0	1
112	1	0
113	0	1
114	0	1
115	1	0
116	1	0
117	1	0
118	0	1
119	0	1
120	1	0
121	0	1
122	0	1
123	1	0
124	0	1
125	0	1
126	1	0
127	0	1
128	1	0
129	0	1
130	0	1
131	1	0
132	0	1
133	0	1
134	1	0
135	1	0
136	0	1
137	0	1
138	1	0
139	1	0
140	1	0
141	1	0
142	1	0
143	0	1
144	1	0
145	1	0
146	1	0
147	1	0
148	0	1
149	1	0
150	0	1
151	0	1
152	1	0
153	1	0
154	0	1
155	0	1
156	1	0
157	1	0
158	0	1
159	0	1
160	0	1
161	1	0
162	0	1
163	0	1
164	0	1
165	0	1
166	0	1
167	0	1
168	1	0
169	1	0
170	0	1
171	0	1
172	1	0
173	0	1
174	1	0
175	1	0
176	0	1
177	0	1
178	1	0
179	1	0
180	0	1
181	0	1
182	1	0
183	0	1
184	1	0
185	0	1
186	1	0
187	1	0
188	1	0
189	1	0
190	0	1
191	1	0
192	1	0
193	1	0
194	1	0
195	1	0
196	0	1
197	0	1
198	0	1
199	0	1
200	1	0
201	0	1
202	0	1
203	0	1
204	0	1
205	1	0
206	0	1
207	0	1
208	1	0
209	1	0
210	0	1
211	0	1
212	0	1
213	0	1
214	1	0
215	1	0
216	0	1
217	0	1
218	0	1
219	1	0
220	1	0
221	0	1
222	1	0
223	1	0
224	0	1
225	1	0
226	0	1
227	1	0
228	0	1
229	1	0
230	0	1
231	0	1
232	1	0
233	1	0
234	0	1
235	0	1
236	1	0
237	0	1
238	1	0
239	1	0
240	1	0
241	0	1
242	1	0
243	1	0
244	1	0
245	0	1
246	0	1
247	1	0
248	0	1
249	1	0
250	0	1
251	1	0
252	1	0
253	0	1
254	1	0
255	0	1
256	0	1
257	0	1
258	1	0
259	0	1
260	0	1
261	1	0
262	0	1
263	0	1
264	0	1
265	0	1
266	0	1
267	0	1
268	0	1
269	1	0
270	0	1
271	0	1
272	0	1
273	1	0
274	1	0
275	0	1
276	0	1
277	0	1
278	1	0
279	0	1
280	1	0
281	1	0
282	0	1
283	0	1
284	1	0
285	1	0
286	1	0
287	1	0
288	0	1
289	0	1
290	1	0
291	0	1
292	0	1
293	1	0
294	1	0
295	0	1
296	1	0
297	0	1
298	0	1
299	1	0
300	0	1
301	0	1
302	0	1
303	1	0
304	1	0
305	1	0
306	1	0
307	1	0
308	0	1
309	0	1
310	0	1
311	1	0
312	0	1
313	0	1
314	0	1
315	0	1
316	1	0
317	1	0
318	0	1
319	0	1
320	1	0
321	1	0
322	1	0
323	0	1
324	0	1
325	1	0
326	1	0
327	0	1
328	0	1
329	0	1
330	1	0
331	1	0
332	0	1
333	0	1
334	0	1
335	1	0
336	1	0
337	0	1
338	0	1
339	0	1
340	1	0
341	1	0
342	1	0
343	1	0
344	0	1
345	1	0
346	0	1
347	0	1
348	0	1
349	1	0
350	0	1
351	0	1
352	1	0
353	1	0
354	1	0
355	0	1
356	1	0
357	1	0
358	0	1
359	0	1
360	1	0
361	0	1
362	0	1
363	0	1
364	0	1
365	1	0
366	0	1
367	0	1
368	0	1
369	0	1
370	0	1
371	1	0
372	0	1
373	1	0
374	1	0
375	0	1
376	1	0
377	1	0
378	1	0
379	1	0
380	1	0
381	0	1
382	0	1
383	0	1
384	0	1
385	0	1
386	0	1
387	0	1
388	1	0
389	0	1
390	0	1
391	0	1
392	0	1
393	1	0
394	1	0
395	0	1
396	0	1
397	1	0
398	0	1
399	1	0
400	1	0
401	0	1
402	0	1
403	0	1
404	1	0
405	1	0
406	1	0
407	0	1
408	1	0
409	1	0
410	1	0
411	0	1
412	1	0
413	1	0
414	1	0
415	0	1
416	0	1
417	0	1
418	0	1
419	1	0
420	1	0
421	1	0
422	0	1
423	1	0
424	1	0
425	0	1
426	1	0
427	0	1
428	0	1
429	0	1
430	0	1
431	1	0
432	1	0
433	0	1
434	0	1
435	0	1
436	0	1
437	0	1
438	0	1
439	0	1
440	1	0
441	1	0
442	1	0
443	0	1
444	0	1
445	1	0
446	0	1
447	1	0
448	1	0
449	0	1
450	0	1
451	0	1
452	0	1
453	0	1
454	1	0
455	1	0
456	0	1
457	0	1
458	0	1
459	1	0
460	0	1
461	0	1
462	0	1
463	0	1
464	1	0
465	1	0
466	1	0
467	0	1
468	0	1
469	1	0
470	1	0
471	1	0
472	0	1
473	1	0
474	1	0
475	1	0
476	0	1
477	0	1
478	1	0
479	1	0
480	1	0
481	0	1
482	1	0
483	0	1
484	1	0
485	1	0
486	0	1
487	0	1
488	0	1
489	1	0
490	0	1
491	1	0
492	0	1
493	1	0
494	1	0
495	1	0
496	0	1
497	1	0
498	0	1
499	1	0
500	1	0
