p	Fe	Ma
1	0	1
2	0	1
3	0	1
4	0	1
5	1	0
6	0	1
7	1	0
8	0	1
9	1	0
10	1	0
11	1	0
12	0	1
13	0	1
14	0	1
15	0	1
16	1	0
17	0	1
18	0	1
19	0	1
20	1	0
21	1	0
22	1	0
23	1	0
24	1	0
25	0	1
26	0	1
27	1	0
28	1	0
29	1	0
30	1	0
31	0	1
32	0	1
33	1	0
34	1	0
35	0	1
36	0	1
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	0	1
44	0	1
45	1	0
46	0	1
47	1	0
48	1	0
49	1	0
50	0	1
51	0	1
52	0	1
53	1	0
54	1	0
55	1	0
56	0	1
57	1	0
58	0	1
59	1	0
60	1	0
61	1	0
62	0	1
63	0	1
64	0	1
65	0	1
66	0	1
67	0	1
68	0	1
69	0	1
70	0	1
71	0	1
72	0	1
73	0	1
74	1	0
75	1	0
76	1	0
77	1	0
78	0	1
79	1	0
80	0	1
81	1	0
82	0	1
83	0	1
84	0	1
85	1	0
86	1	0
87	1	0
88	0	1
89	0	1
90	1	0
91	1	0
92	0	1
93	1	0
94	1	0
95	1	0
96	0	1
97	0	1
98	1	0
99	1	0
100	1	0
101	0	1
102	1	0
103	0	1
104	0	1
105	1	0
106	1	0
107	0	1
108	1	0
109	0	1
110	1	0
111	1	0
112	1	0
113	0	1
114	0	1
115	0	1
116	0	1
117	0	1
118	0	1
119	1	0
120	0	1
121	1	0
122	1	0
123	1	0
124	1	0
125	0	1
126	1	0
127	1	0
128	0	1
129	0	1
130	1	0
131	1	0
132	0	1
133	0	1
134	0	1
135	0	1
136	1	0
137	1	0
138	0	1
139	0	1
140	1	0
141	1	0
142	1	0
143	1	0
144	1	0
145	1	0
146	1	0
147	0	1
148	0	1
149	0	1
150	0	1
151	1	0
152	1	0
153	0	1
154	1	0
155	1	0
156	1	0
157	0	1
158	1	0
159	1	0
160	1	0
161	0	1
162	1	0
163	0	1
164	1	0
165	1	0
166	1	0
167	1	0
168	0	1
169	0	1
170	1	0
171	1	0
172	0	1
173	1	0
174	0	1
175	0	1
176	0	1
177	1	0
178	0	1
179	1	0
180	0	1
181	0	1
182	0	1
183	0	1
184	1	0
185	1	0
186	0	1
187	1	0
188	0	1
189	0	1
190	0	1
191	0	1
192	0	1
193	1	0
194	1	0
195	1	0
196	1	0
197	0	1
198	0	1
199	1	0
200	0	1
