p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.16
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	0.37
3	1	1.00
3	2	1.00
3	3	0.72
4	1	1.00
4	2	1.00
4	3	0.79
5	1	1.00
5	2	1.00
5	3	1.00
5	4	1.00
5	5	1.00
5	6	0.26
6	1	1.00
6	2	0.35
7	1	1.00
7	2	1.00
7	3	1.00
7	4	0.70
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.80
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	1.00
9	6	0.87
10	1	1.00
10	2	1.00
10	3	0.15
11	1	1.00
11	2	0.87
12	1	1.00
12	2	0.84
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.73
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	1.00
14	7	1.00
14	8	1.00
14	9	0.60
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	1.00
15	7	1.00
15	8	1.00
15	9	0.23
16	1	1.00
16	2	1.00
16	3	1.00
16	4	0.64
17	1	1.00
17	2	1.00
17	3	1.00
17	4	0.43
18	1	1.00
18	2	1.00
18	3	0.66
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	0.78
20	1	1.00
20	2	1.00
20	3	0.37
21	1	1.00
21	2	0.61
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	1.00
22	6	1.00
22	7	1.00
22	8	0.80
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.39
24	1	1.00
24	2	1.00
24	3	1.00
24	4	0.10
25	1	1.00
25	2	1.00
25	3	1.00
25	4	0.65
26	1	1.00
26	2	0.39
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.28
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	1.00
28	6	1.00
28	7	1.00
28	8	1.00
28	9	0.50
29	1	1.00
