p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	10	1
1	11	1
1	12	1
1	13	1
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
1	25	1
1	26	1
1	27	1
1	28	1
1	29	1
1	30	1
1	31	1
1	32	1
1	33	1
1	34	1
1	35	1
1	36	1
1	37	1
1	38	1
1	39	1
1	40	1
2	1	1
2	2	1
2	3	0
2	4	0
2	5	0
2	6	1
2	7	0
2	8	0
2	9	0
2	10	1
2	11	0
2	12	0
2	13	0
2	14	1
2	15	1
2	16	0
2	17	1
2	18	0
2	19	0
2	20	0
2	21	0
2	22	1
2	23	0
2	24	0
2	25	1
2	26	0
2	27	0
2	28	0
2	29	1
2	30	1
2	31	1
2	32	1
2	33	0
2	34	0
2	35	0
2	36	0
2	37	0
2	38	1
2	39	0
2	40	1
3	1	1
3	2	1
3	3	0
3	4	0
3	5	1
3	6	1
3	7	0
3	8	0
3	9	1
3	10	1
3	11	0
3	12	1
3	13	0
3	14	1
3	15	0
3	16	0
3	17	1
3	18	0
3	19	0
3	20	0
3	21	0
3	22	1
3	23	0
3	24	0
3	25	1
3	26	0
3	27	0
3	28	0
3	29	1
3	30	1
3	31	1
3	32	1
3	33	0
3	34	1
3	35	0
3	36	0
3	37	0
3	38	0
3	39	0
3	40	1
4	1	0
4	2	0
4	3	0
4	4	1
4	5	0
4	6	0
4	7	1
4	8	0
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	1
4	16	0
4	17	0
4	18	0
4	19	1
4	20	0
4	21	0
4	22	0
4	23	0
4	24	0
4	25	0
4	26	0
4	27	0
4	28	0
4	29	0
4	30	0
4	31	0
4	32	0
4	33	0
4	34	0
4	35	0
4	36	0
4	37	0
4	38	1
4	39	0
4	40	0
5	1	0
5	2	0
5	3	1
5	4	0
5	5	1
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	1
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	1
5	19	0
5	20	1
5	21	1
5	22	0
5	23	0
5	24	1
5	25	0
5	26	0
5	27	1
5	28	0
5	29	0
5	30	0
5	31	0
5	32	0
5	33	0
5	34	1
5	35	1
5	36	0
5	37	1
5	38	0
5	39	1
5	40	0
6	1	1
6	2	1
6	3	0
6	4	1
6	5	1
6	6	1
6	7	1
6	8	0
6	9	1
6	10	1
6	11	0
6	12	1
6	13	0
6	14	1
6	15	1
6	16	0
6	17	1
6	18	0
6	19	1
6	20	0
6	21	0
6	22	1
6	23	1
6	24	0
6	25	1
6	26	0
6	27	0
6	28	0
6	29	1
6	30	1
6	31	1
6	32	1
6	33	0
6	34	1
6	35	0
6	36	0
6	37	0
6	38	1
6	39	0
6	40	1
7	1	1
7	2	1
7	3	0
7	4	1
7	5	1
7	6	1
7	7	1
7	8	0
7	9	1
7	10	1
7	11	0
7	12	1
7	13	0
7	14	1
7	15	1
7	16	0
7	17	1
7	18	0
7	19	1
7	20	0
7	21	0
7	22	1
7	23	1
7	24	0
7	25	1
7	26	0
7	27	0
7	28	0
7	29	1
7	30	1
7	31	1
7	32	1
7	33	0
7	34	1
7	35	0
7	36	0
7	37	0
7	38	1
7	39	0
7	40	1
8	1	1
8	2	1
8	3	0
8	4	1
8	5	1
8	6	1
8	7	1
8	8	0
8	9	1
8	10	1
8	11	0
8	12	1
8	13	0
8	14	1
8	15	1
8	16	0
8	17	1
8	18	0
