p	ad_min	ad_max
1	0	0
2	0	0
3	0	0
4	0	22
5	0	0
6	0	0
7	0	0
8	0	0
9	0	16
10	0	1
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	3
18	0	17
19	0	0
20	0	20
21	0	8
22	0	6
23	0	0
24	0	0
25	0	0
26	21	22
27	3	3
28	23	23
29	1	1
30	26	26
31	14	14
32	9	25
33	9	9
34	19	19
35	13	13
36	27	27
37	12	16
38	1	1
39	18	18
40	16	18
41	8	19
42	1	5
43	14	17
44	11	11
45	17	21
46	15	16
47	17	23
48	2	2
49	6	6
50	14	20
51	16	22
52	12	12
53	8	8
54	3	3
55	22	22
56	11	11
57	21	26
58	3	3
59	2	7
60	3	8
61	21	25
62	6	6
63	4	5
64	7	26
65	7	23
66	16	25
67	26	26
68	23	23
69	8	21
70	23	23
71	0	16
72	23	23
73	7	24
74	7	7
75	9	9
76	20	20
77	23	23
78	4	4
79	3	3
80	7	7
81	21	23
82	13	13
83	15	15
84	25	25
85	22	22
86	1	6
87	12	12
88	26	26
89	24	24
90	16	16
91	22	22
92	16	16
93	6	6
94	7	7
95	22	22
96	14	14
97	22	22
98	1	19
99	0	23
100	27	27
101	23	25
102	7	11
103	10	14
104	11	17
105	2	18
106	18	18
107	27	27
108	10	10
109	11	11
110	13	14
111	0	0
112	16	16
113	20	20
114	20	26
115	21	21
116	22	22
117	14	14
118	11	22
119	19	26
120	18	21
121	9	9
122	26	26
123	21	22
124	11	14
125	1	4
126	18	18
127	22	22
128	20	20
129	11	11
130	7	7
131	27	27
132	3	3
133	11	13
134	14	18
135	6	6
136	3	3
137	23	23
138	1	1
139	19	19
140	23	23
141	1	1
142	24	25
143	9	9
144	17	27
145	4	18
146	2	19
147	9	9
148	16	16
149	11	13
150	6	9
151	2	11
152	10	22
153	3	14
154	2	11
155	6	6
156	25	25
157	21	21
158	1	1
159	11	17
160	21	21
161	2	2
162	9	9
163	20	20
164	20	20
165	20	20
166	10	10
167	7	22
168	0	6
169	24	27
170	26	26
171	18	18
172	14	14
173	7	7
174	6	16
175	19	19
176	9	9
177	6	8
178	7	7
179	16	16
180	9	14
181	0	0
182	5	5
183	21	21
184	5	5
185	15	15
186	26	26
187	3	3
188	10	10
189	18	18
190	4	4
191	21	21
192	1	18
193	15	15
194	15	15
195	3	6
196	12	16
197	6	24
198	26	26
199	8	18
200	25	25
201	9	10
202	7	16
203	23	24
204	11	20
205	20	20
206	3	3
207	8	15
208	0	16
209	14	21
210	19	25
211	0	17
212	5	5
213	27	27
214	23	25
215	15	20
216	16	16
217	9	9
218	26	26
219	24	24
220	0	16
221	3	9
222	21	21
223	19	19
224	22	23
225	25	25
226	23	23
227	0	1
228	26	26
229	17	17
230	20	20
231	9	12
232	7	7
233	24	24
234	10	10
235	17	24
236	12	12
237	9	19
238	5	5
239	19	19
240	18	19
241	9	24
242	24	24
243	9	13
244	4	4
245	15	20
246	15	15
