p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.43
1	4	0.20
2	1	1.00
2	2	0.54
2	3	0.32
3	1	1.00
3	2	0.77
3	3	0.63
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	0.22
4	6	0.05
5	1	1.00
5	2	0.77
5	3	0.21
6	1	1.00
6	2	1.00
6	3	0.37
6	4	0.02
7	1	1.00
7	2	0.14
7	3	0.03
8	1	1.00
8	2	0.49
8	3	0.39
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	1.00
9	6	0.10
9	7	0.03
10	1	1.00
10	2	0.84
10	3	0.13
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	1.00
11	6	0.08
11	7	0.01
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	0.90
12	6	0.75
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.12
13	7	0.08
14	1	1.00
14	2	1.00
14	3	0.83
14	4	0.69
15	1	1.00
15	2	0.24
15	3	0.06
16	1	1.00
16	2	0.62
16	3	0.03
17	1	1.00
17	2	1.00
17	3	0.83
17	4	0.34
18	1	1.00
18	2	1.00
18	3	1.00
18	4	0.76
18	5	0.23
19	1	1.00
19	2	0.12
19	3	0.04
20	1	1.00
20	2	0.63
20	3	0.14
21	1	1.00
21	2	1.00
21	3	0.62
21	4	0.37
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	0.19
22	6	0.09
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	0.73
23	7	0.67
24	1	1.00
24	2	1.00
24	3	0.95
24	4	0.34
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	0.56
25	6	0.21
26	1	1.00
26	2	1.00
26	3	0.90
26	4	0.38
27	1	1.00
27	2	1.00
27	3	0.91
27	4	0.33
28	1	1.00
28	2	1.00
28	3	1.00
28	4	0.86
28	5	0.72
29	1	1.00
29	2	1.00
29	3	1.00
29	4	1.00
