p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	0.58
2	1	1.00
2	2	0.56
3	1	1.00
3	2	1.00
3	3	1.00
3	4	1.00
3	5	0.01
4	1	1.00
4	2	1.00
4	3	1.00
4	4	0.03
5	1	1.00
5	2	1.00
5	3	1.00
5	4	0.59
6	1	1.00
6	2	1.00
6	3	0.41
7	1	1.00
7	2	1.00
7	3	1.00
7	4	0.86
8	1	1.00
8	2	1.00
8	3	0.57
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	0.09
10	1	1.00
10	2	1.00
10	3	1.00
10	4	0.63
11	1	1.00
11	2	0.01
12	1	1.00
12	2	1.00
12	3	0.71
13	1	1.00
13	2	0.09
14	1	1.00
14	2	0.84
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.80
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	0.60
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	0.22
18	1	1.00
18	2	1.00
18	3	0.23
19	1	1.00
19	2	1.00
19	3	1.00
19	4	0.87
20	1	1.00
20	2	0.28
21	1	1.00
21	2	1.00
21	3	1.00
21	4	1.00
21	5	1.00
21	6	0.42
22	1	1.00
22	2	0.12
23	1	1.00
23	2	0.30
24	1	1.00
24	2	1.00
24	3	1.00
24	4	0.43
25	1	1.00
25	2	0.11
26	1	1.00
26	2	1.00
26	3	0.70
27	1	1.00
27	2	0.62
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	0.77
29	1	1.00
29	2	1.00
29	3	1.00
29	4	0.15
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	0.73
31	1	1.00
31	2	1.00
31	3	1.00
31	4	1.00
31	5	0.41
32	1	1.00
32	2	1.00
32	3	1.00
32	4	1.00
32	5	0.61
33	1	1.00
33	2	1.00
33	3	0.09
34	1	1.00
34	2	1.00
34	3	0.94
35	1	1.00
35	2	1.00
35	3	0.38
36	1	1.00
36	2	1.00
