p	L_p
1	1
2	2
3	1
4	4
5	2
6	6
7	2
8	3
9	4
10	2
11	3
12	9
13	4
14	7
15	3
16	5
17	6
18	7
19	5
20	5
21	3
22	1
23	2
24	2
25	3
26	1
27	3
28	1
29	7
30	4
31	1
32	6
33	3
34	5
35	9
36	1
37	5
38	7
39	3
40	3
41	2
42	8
43	2
44	2
45	2
46	1
47	4
48	4
49	9
50	1
51	3
52	2
53	1
54	3
55	3
56	6
57	7
58	7
59	5
60	10
61	3
62	3
63	5
64	5
65	4
66	2
67	5
68	1
69	1
70	4
71	8
72	3
73	4
74	10
75	6
76	3
77	8
78	2
79	1
80	7
81	1
82	1
83	8
84	7
85	4
86	3
87	3
88	2
89	4
90	4
91	4
92	2
93	5
94	6
95	1
96	2
97	8
98	2
99	7
100	6
