p	ad_min	ad_max
1	0	46
2	0	16
3	0	0
4	0	14
5	0	38
6	0	10
7	0	28
8	0	0
9	0	0
10	0	9
11	49	49
12	19	39
13	30	33
14	48	49
15	5	10
16	48	49
17	8	10
18	21	21
19	37	37
20	1	1
21	37	37
22	8	8
23	37	37
24	6	6
25	36	44
26	44	49
27	7	39
28	51	51
29	25	25
30	27	39
31	43	52
32	25	44
33	2	2
34	0	0
35	47	47
36	37	37
37	38	41
38	34	34
39	47	51
40	55	55
41	41	41
42	22	30
43	49	50
44	25	25
45	10	34
46	31	31
47	41	53
48	26	42
49	22	51
50	44	47
51	2	2
52	14	14
53	12	12
54	22	22
55	23	23
56	23	28
57	7	11
58	40	40
59	23	36
60	9	26
61	27	27
62	20	33
63	48	48
64	18	36
65	44	44
66	7	7
67	35	35
68	2	45
69	35	35
70	28	28
71	40	40
72	44	44
73	29	49
74	0	0
75	14	14
76	30	40
77	36	36
78	5	52
79	36	36
80	1	1
81	52	52
82	55	55
83	10	29
84	13	36
85	52	53
86	27	27
87	49	49
88	27	32
89	54	55
90	24	24
91	47	51
92	8	8
93	8	50
94	44	52
95	51	51
96	36	36
97	0	45
98	33	33
99	37	38
100	8	8
101	38	38
102	27	46
103	36	45
104	24	24
105	2	12
106	54	54
107	15	41
108	36	36
109	1	49
110	39	39
111	25	29
112	0	0
113	11	11
114	41	41
115	20	42
116	6	6
117	27	44
118	38	48
119	41	54
120	27	27
121	47	51
122	33	33
123	53	53
124	15	15
125	7	46
126	24	40
127	16	16
128	23	23
129	4	24
130	27	27
131	4	4
132	0	20
133	43	44
134	5	24
135	32	32
136	35	35
137	21	21
138	6	40
139	40	40
140	4	33
141	32	32
142	12	36
143	43	51
144	18	31
145	45	46
146	21	21
147	45	45
148	35	35
149	50	50
150	40	40
151	55	55
152	33	33
153	30	30
154	53	53
155	20	20
156	48	48
157	35	35
158	16	16
159	32	43
160	54	54
161	9	11
162	6	6
163	0	0
164	25	51
165	31	45
166	27	35
167	29	29
168	31	34
169	3	8
170	37	37
171	4	43
172	36	36
173	46	52
174	9	45
175	12	45
176	4	4
177	24	35
178	1	12
179	26	26
180	18	27
181	21	41
182	32	32
183	46	46
184	45	45
185	49	49
186	9	9
187	14	48
188	52	53
189	2	16
190	16	28
191	51	51
192	30	30
193	13	23
194	42	51
195	43	43
196	47	47
197	41	41
198	54	54
199	24	24
200	36	36
