p	r	R_p
1	1	1
1	2	1
1	3	1
1	4	1
1	5	0
1	6	1
1	7	1
1	8	0
1	9	1
1	10	1
1	11	0
1	12	1
1	13	1
1	14	1
1	15	0
1	16	1
1	17	0
1	18	1
1	19	1
1	20	0
1	21	1
1	22	1
1	23	0
1	24	0
1	25	0
1	26	0
1	27	1
1	28	1
1	29	1
1	30	1
1	31	0
1	32	1
1	33	1
1	34	1
1	35	1
1	36	0
1	37	1
1	38	0
1	39	1
1	40	1
2	1	1
2	2	1
2	3	0
2	4	1
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	1
2	11	0
2	12	1
2	13	0
2	14	0
2	15	0
2	16	0
2	17	0
2	18	1
2	19	1
2	20	0
2	21	0
2	22	0
2	23	0
2	24	0
2	25	0
2	26	0
2	27	1
2	28	1
2	29	1
2	30	1
2	31	0
2	32	0
2	33	1
2	34	1
2	35	1
2	36	0
2	37	0
2	38	0
2	39	0
2	40	0
3	1	0
3	2	0
3	3	1
3	4	1
3	5	0
3	6	1
3	7	0
3	8	1
3	9	0
3	10	1
3	11	1
3	12	0
3	13	0
3	14	0
3	15	1
3	16	0
3	17	1
3	18	0
3	19	1
3	20	0
3	21	0
3	22	0
3	23	0
3	24	1
3	25	0
3	26	0
3	27	1
3	28	1
3	29	1
3	30	0
3	31	0
3	32	1
3	33	1
3	34	0
3	35	0
3	36	0
3	37	0
3	38	0
3	39	0
3	40	0
4	1	1
4	2	1
4	3	0
4	4	0
4	5	1
4	6	0
4	7	0
4	8	1
4	9	0
4	10	0
4	11	1
4	12	1
4	13	0
4	14	0
4	15	1
4	16	1
4	17	1
4	18	1
4	19	0
4	20	1
4	21	0
4	22	1
4	23	1
4	24	1
4	25	1
4	26	1
4	27	0
4	28	0
4	29	0
4	30	1
4	31	1
4	32	0
4	33	0
4	34	1
4	35	1
4	36	1
4	37	0
4	38	1
4	39	0
4	40	0
5	1	1
5	2	1
5	3	1
5	4	1
5	5	0
5	6	1
5	7	1
5	8	0
5	9	1
5	10	1
5	11	0
5	12	1
5	13	1
5	14	1
5	15	0
5	16	1
5	17	0
5	18	1
5	19	1
5	20	0
5	21	1
5	22	1
5	23	0
5	24	0
5	25	0
5	26	0
5	27	1
5	28	1
5	29	1
5	30	1
5	31	0
5	32	1
5	33	1
5	34	1
5	35	1
5	36	0
5	37	1
5	38	0
5	39	1
5	40	1
6	1	1
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	0
6	9	0
6	10	0
6	11	0
6	12	1
6	13	0
6	14	0
6	15	0
6	16	1
6	17	0
6	18	1
6	19	0
6	20	0
6	21	0
6	22	1
6	23	0
6	24	0
6	25	0
6	26	0
6	27	0
6	28	0
6	29	0
6	30	1
6	31	0
6	32	0
6	33	0
6	34	1
6	35	1
6	36	0
6	37	0
6	38	0
6	39	0
6	40	0
7	1	0
7	2	0
7	3	1
7	4	1
7	5	0
7	6	1
7	7	0
7	8	1
7	9	0
7	10	1
7	11	1
7	12	0
7	13	0
7	14	0
7	15	1
7	16	0
7	17	1
7	18	0
7	19	1
7	20	0
7	21	0
7	22	0
7	23	0
7	24	1
7	25	0
7	26	0
7	27	1
7	28	1
7	29	1
7	30	0
7	31	0
7	32	1
7	33	1
7	34	0
7	35	0
7	36	0
7	37	0
7	38	0
7	39	0
7	40	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	1
8	8	1
8	9	1
8	10	0
8	11	1
8	12	0
8	13	1
8	14	1
8	15	1
8	16	0
8	17	1
8	18	0
