p	Fe	Ma
1	0	1
2	1	0
3	0	1
4	1	0
5	0	1
6	1	0
7	1	0
8	0	1
9	1	0
10	1	0
11	1	0
12	1	0
13	1	0
14	0	1
15	0	1
16	1	0
17	1	0
18	0	1
19	1	0
20	1	0
21	1	0
22	1	0
23	0	1
24	0	1
25	0	1
26	1	0
27	1	0
28	1	0
29	0	1
30	1	0
31	0	1
32	0	1
33	1	0
34	0	1
35	1	0
36	0	1
37	0	1
38	1	0
39	1	0
40	0	1
41	1	0
42	0	1
43	0	1
44	1	0
45	1	0
46	0	1
47	1	0
48	0	1
49	0	1
50	0	1
51	1	0
52	0	1
53	0	1
54	0	1
55	0	1
56	1	0
57	1	0
58	1	0
59	0	1
60	1	0
61	0	1
62	1	0
63	1	0
64	1	0
65	0	1
66	0	1
67	0	1
68	1	0
69	0	1
70	1	0
71	0	1
72	1	0
73	0	1
74	0	1
75	1	0
76	0	1
77	0	1
78	1	0
79	0	1
80	1	0
81	0	1
82	0	1
83	1	0
84	0	1
85	1	0
86	0	1
87	0	1
88	1	0
89	0	1
90	0	1
91	0	1
92	1	0
93	1	0
94	0	1
95	0	1
96	0	1
97	1	0
98	0	1
99	0	1
100	0	1
101	0	1
102	1	0
103	1	0
104	0	1
105	0	1
106	1	0
107	0	1
108	0	1
109	1	0
110	0	1
111	0	1
112	0	1
113	0	1
114	0	1
115	1	0
116	0	1
117	0	1
118	0	1
119	1	0
120	1	0
121	1	0
122	1	0
123	1	0
124	1	0
125	0	1
126	1	0
127	1	0
128	0	1
129	1	0
130	0	1
131	0	1
132	1	0
133	1	0
134	1	0
135	1	0
136	0	1
137	1	0
138	1	0
139	1	0
140	0	1
141	0	1
142	0	1
143	1	0
144	0	1
145	1	0
146	0	1
147	0	1
148	0	1
149	0	1
150	1	0
151	0	1
152	1	0
153	0	1
154	1	0
155	1	0
156	0	1
157	0	1
158	0	1
159	0	1
160	0	1
161	0	1
162	0	1
163	1	0
164	1	0
165	1	0
166	0	1
167	0	1
168	0	1
169	1	0
170	1	0
171	0	1
172	0	1
173	0	1
174	0	1
175	0	1
176	1	0
177	0	1
178	0	1
179	1	0
180	0	1
181	1	0
182	1	0
183	0	1
184	0	1
185	1	0
186	0	1
187	1	0
188	0	1
189	0	1
190	0	1
191	0	1
192	1	0
193	0	1
194	1	0
195	0	1
196	0	1
197	0	1
198	0	1
199	0	1
200	1	0
201	1	0
202	1	0
203	1	0
204	0	1
205	0	1
206	1	0
207	1	0
208	0	1
209	0	1
210	0	1
211	0	1
212	0	1
213	1	0
214	0	1
215	1	0
216	0	1
217	1	0
218	1	0
219	1	0
220	1	0
221	1	0
222	0	1
223	0	1
224	0	1
225	0	1
226	0	1
227	0	1
228	0	1
229	1	0
230	1	0
231	1	0
232	1	0
233	0	1
234	0	1
235	1	0
236	0	1
237	1	0
238	1	0
239	1	0
240	0	1
241	1	0
242	0	1
243	1	0
244	1	0
245	1	0
246	1	0
247	0	1
248	1	0
249	0	1
250	1	0
