p	Fe	Ma
1	0	1
2	0	1
3	1	0
4	1	0
5	0	1
6	0	1
7	1	0
8	0	1
9	1	0
10	0	1
11	0	1
12	0	1
13	0	1
14	1	0
15	1	0
16	0	1
17	1	0
18	1	0
19	1	0
20	1	0
21	0	1
22	0	1
23	0	1
24	0	1
25	0	1
26	1	0
27	0	1
28	0	1
29	0	1
30	1	0
31	1	0
32	0	1
33	1	0
34	0	1
35	1	0
36	1	0
37	1	0
38	1	0
39	0	1
40	1	0
41	0	1
42	0	1
43	0	1
44	1	0
45	0	1
46	1	0
47	1	0
48	0	1
49	0	1
50	1	0
51	0	1
52	0	1
53	1	0
54	0	1
55	0	1
56	0	1
57	0	1
58	0	1
59	1	0
60	0	1
61	1	0
62	1	0
63	1	0
64	0	1
65	0	1
66	0	1
67	1	0
68	1	0
69	0	1
70	0	1
71	1	0
72	1	0
73	0	1
74	1	0
75	1	0
76	1	0
77	0	1
78	1	0
79	0	1
80	0	1
81	0	1
82	1	0
83	1	0
84	1	0
85	0	1
86	0	1
87	0	1
88	1	0
89	0	1
90	1	0
91	1	0
92	0	1
93	1	0
94	1	0
95	0	1
96	1	0
97	1	0
98	0	1
99	0	1
100	1	0
101	1	0
102	1	0
103	0	1
104	0	1
105	0	1
106	0	1
107	1	0
108	0	1
109	0	1
110	0	1
111	0	1
112	0	1
113	0	1
114	1	0
115	1	0
116	0	1
117	1	0
118	0	1
119	0	1
120	1	0
121	0	1
122	0	1
123	1	0
124	0	1
125	0	1
126	1	0
127	0	1
128	1	0
129	1	0
130	0	1
131	1	0
132	0	1
133	1	0
134	0	1
135	0	1
136	1	0
137	1	0
138	0	1
139	1	0
140	0	1
141	0	1
142	0	1
143	0	1
144	0	1
145	0	1
146	1	0
147	0	1
148	1	0
149	1	0
150	0	1
151	1	0
152	0	1
153	0	1
154	0	1
155	0	1
156	1	0
157	0	1
158	1	0
159	1	0
160	0	1
161	0	1
162	1	0
163	0	1
164	1	0
165	0	1
166	1	0
167	0	1
168	1	0
169	1	0
170	0	1
171	0	1
172	0	1
173	1	0
174	0	1
175	1	0
176	0	1
177	0	1
178	1	0
179	0	1
180	1	0
181	1	0
182	1	0
183	0	1
184	1	0
185	0	1
186	0	1
187	1	0
188	1	0
189	1	0
190	1	0
191	1	0
192	0	1
193	0	1
194	0	1
195	1	0
196	1	0
197	1	0
198	1	0
199	1	0
200	1	0
201	0	1
202	0	1
203	0	1
204	1	0
205	1	0
206	1	0
207	0	1
208	0	1
209	1	0
210	0	1
211	0	1
212	0	1
213	0	1
214	0	1
215	1	0
216	1	0
217	1	0
218	1	0
219	1	0
220	0	1
221	0	1
222	1	0
223	0	1
224	1	0
225	0	1
226	0	1
227	1	0
228	0	1
229	0	1
230	1	0
231	0	1
232	1	0
233	1	0
234	0	1
235	1	0
236	0	1
237	1	0
238	0	1
239	1	0
240	1	0
241	1	0
242	0	1
243	1	0
244	0	1
245	1	0
246	0	1
247	0	1
248	0	1
249	0	1
250	0	1
