p	d	Pr(p,d)
1	1	1.00
1	2	0.15
1	3	0.05
2	1	1.00
2	2	1.00
2	3	0.51
2	4	0.44
3	1	1.00
3	2	0.16
3	3	0.16
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	0.28
4	6	0.07
5	1	1.00
5	2	1.00
5	3	0.47
5	4	0.28
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	1.00
6	7	0.33
6	8	0.07
7	1	1.00
7	2	1.00
7	3	0.29
7	4	0.04
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.46
8	5	0.32
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	0.95
9	6	0.47
10	1	1.00
10	2	1.00
10	3	0.13
10	4	0.05
11	1	1.00
11	2	1.00
11	3	1.00
11	4	0.33
11	5	0.28
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	1.00
12	6	1.00
12	7	1.00
12	8	1.00
12	9	1.00
12	10	0.36
12	11	0.33
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	0.74
13	6	0.64
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	1.00
14	7	1.00
14	8	0.21
14	9	0.12
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.86
15	5	0.21
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	0.27
16	7	0.00
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	1.00
17	6	1.00
17	7	0.96
17	8	0.60
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	1.00
18	7	1.00
18	8	0.47
18	9	0.05
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	0.07
19	7	0.05
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	0.96
20	7	0.90
21	1	1.00
21	2	1.00
21	3	1.00
21	4	0.63
21	5	0.15
22	1	1.00
22	2	0.82
22	3	0.18
23	1	1.00
23	2	1.00
23	3	0.15
23	4	0.04
24	1	1.00
24	2	1.00
24	3	0.23
24	4	0.21
25	1	1.00
25	2	1.00
25	3	1.00
25	4	0.54
25	5	0.33
26	1	1.00
26	2	0.70
26	3	0.64
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.73
27	5	0.01
28	1	1.00
28	2	0.08
28	3	0.07
29	1	1.00
29	2	1.00
29	3	1.00
29	4	1.00
29	5	1.00
29	6	1.00
29	7	1.00
29	8	0.06
29	9	0.03
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	0.97
30	6	0.23
31	1	1.00
31	2	0.58
31	3	0.42
32	1	1.00
32	2	1.00
32	3	1.00
32	4	1.00
32	5	1.00
32	6	1.00
32	7	0.13
32	8	0.03
33	1	1.00
33	2	1.00
33	3	1.00
33	4	0.65
33	5	0.63
34	1	1.00
34	2	1.00
34	3	1.00
34	4	1.00
34	5	1.00
34	6	0.03
34	7	0.01
35	1	1.00
35	2	1.00
35	3	1.00
35	4	1.00
35	5	1.00
35	6	1.00
35	7	1.00
35	8	1.00
35	9	1.00
35	10	0.35
35	11	0.33
36	1	1.00
36	2	0.59
36	3	0.21
37	1	1.00
37	2	1.00
37	3	1.00
37	4	1.00
37	5	1.00
37	6	0.79
37	7	0.68
38	1	1.00
38	2	1.00
38	3	1.00
38	4	1.00
38	5	1.00
38	6	1.00
38	7	1.00
38	8	0.48
38	9	0.41
39	1	1.00
39	2	1.00
39	3	1.00
39	4	0.21
39	5	0.05
40	1	1.00
40	2	1.00
40	3	1.00
40	4	0.50
40	5	0.31
41	1	1.00
41	2	1.00
41	3	0.46
41	4	0.31
42	1	1.00
42	2	1.00
42	3	1.00
42	4	1.00
42	5	1.00
42	6	1.00
42	7	1.00
42	8	1.00
42	9	0.72
42	10	0.14
43	1	1.00
43	2	1.00
43	3	0.78
43	4	0.11
44	1	1.00
44	2	1.00
44	3	0.59
44	4	0.38
45	1	1.00
45	2	1.00
45	3	0.25
45	4	0.23
46	1	1.00
46	2	0.45
46	3	0.36
47	1	1.00
47	2	1.00
47	3	1.00
47	4	1.00
47	5	0.36
47	6	0.12
48	1	1.00
48	2	1.00
48	3	1.00
48	4	1.00
48	5	0.19
48	6	0.01
49	1	1.00
49	2	1.00
49	3	1.00
49	4	1.00
49	5	1.00
49	6	1.00
49	7	1.00
49	8	1.00
49	9	1.00
49	10	0.33
49	11	0.14
50	1	1.00
50	2	0.82
50	3	0.52
51	1	1.00
51	2	1.00
51	3	1.00
51	4	0.16
51	5	0.12
52	1	1.00
52	2	1.00
52	3	0.04
52	4	0.02
53	1	1.00
53	2	0.71
53	3	0.02
54	1	1.00
54	2	1.00
54	3	1.00
54	4	0.85
54	5	0.65
55	1	1.00
55	2	1.00
55	3	1.00
55	4	0.83
55	5	0.72
56	1	1.00
56	2	1.00
56	3	1.00
56	4	1.00
56	5	1.00
56	6	1.00
56	7	0.47
56	8	0.06
57	1	1.00
57	2	1.00
57	3	1.00
57	4	1.00
57	5	1.00
57	6	1.00
57	7	1.00
57	8	0.24
57	9	0.06
58	1	1.00
58	2	1.00
58	3	1.00
58	4	1.00
58	5	1.00
58	6	1.00
58	7	1.00
58	8	0.55
58	9	0.34
59	1	1.00
59	2	1.00
59	3	1.00
59	4	1.00
59	5	1.00
59	6	0.77
59	7	0.35
60	1	1.00
60	2	1.00
60	3	1.00
60	4	1.00
60	5	1.00
60	6	1.00
60	7	1.00
60	8	1.00
60	9	1.00
60	10	1.00
60	11	0.51
60	12	0.22
61	1	1.00
61	2	1.00
61	3	1.00
61	4	0.68
61	5	0.30
62	1	1.00
62	2	1.00
62	3	1.00
62	4	0.06
62	5	0.01
63	1	1.00
63	2	1.00
63	3	1.00
63	4	1.00
63	5	1.00
63	6	0.08
63	7	0.06
64	1	1.00
64	2	1.00
64	3	1.00
64	4	1.00
64	5	1.00
64	6	0.63
64	7	0.14
65	1	1.00
65	2	1.00
65	3	1.00
65	4	1.00
65	5	0.30
65	6	0.03
66	1	1.00
66	2	1.00
66	3	0.37
66	4	0.12
67	1	1.00
67	2	1.00
67	3	1.00
67	4	1.00
67	5	1.00
67	6	0.74
67	7	0.73
68	1	1.00
68	2	0.33
68	3	0.33
69	1	1.00
69	2	0.10
69	3	0.03
70	1	1.00
70	2	1.00
70	3	1.00
70	4	1.00
70	5	0.67
70	6	0.62
71	1	1.00
71	2	1.00
71	3	1.00
71	4	1.00
71	5	1.00
71	6	1.00
71	7	1.00
71	8	1.00
71	9	0.69
71	10	0.03
72	1	1.00
72	2	1.00
72	3	1.00
72	4	0.20
72	5	0.17
73	1	1.00
73	2	1.00
73	3	1.00
73	4	1.00
73	5	0.01
73	6	0.00
74	1	1.00
74	2	1.00
74	3	1.00
74	4	1.00
74	5	1.00
74	6	1.00
74	7	1.00
74	8	1.00
74	9	1.00
74	10	1.00
74	11	0.00
74	12	0.00
75	1	1.00
75	2	1.00
75	3	1.00
75	4	1.00
75	5	1.00
75	6	1.00
75	7	0.26
75	8	0.10
76	1	1.00
76	2	1.00
76	3	1.00
76	4	0.11
76	5	0.02
77	1	1.00
77	2	1.00
77	3	1.00
77	4	1.00
77	5	1.00
77	6	1.00
77	7	1.00
77	8	1.00
77	9	0.01
77	10	0.00
78	1	1.00
78	2	1.00
78	3	0.00
78	4	0.00
79	1	1.00
79	2	0.29
79	3	0.05
80	1	1.00
80	2	1.00
80	3	1.00
80	4	1.00
80	5	1.00
80	6	1.00
80	7	1.00
80	8	0.81
80	9	0.13
81	1	1.00
81	2	0.94
81	3	0.75
82	1	1.00
82	2	0.72
82	3	0.16
83	1	1.00
83	2	1.00
83	3	1.00
83	4	1.00
83	5	1.00
83	6	1.00
83	7	1.00
83	8	1.00
83	9	0.48
83	10	0.17
84	1	1.00
84	2	1.00
84	3	1.00
84	4	1.00
84	5	1.00
84	6	1.00
84	7	1.00
84	8	0.56
84	9	0.43
85	1	1.00
85	2	1.00
85	3	1.00
85	4	1.00
85	5	0.60
85	6	0.04
86	1	1.00
86	2	1.00
86	3	1.00
86	4	0.70
86	5	0.48
87	1	1.00
87	2	1.00
87	3	1.00
87	4	0.40
87	5	0.00
88	1	1.00
88	2	1.00
88	3	0.64
88	4	0.58
89	1	1.00
89	2	1.00
89	3	1.00
89	4	1.00
89	5	0.99
89	6	0.01
90	1	1.00
90	2	1.00
90	3	1.00
90	4	1.00
90	5	0.02
90	6	0.01
91	1	1.00
91	2	1.00
91	3	1.00
91	4	1.00
91	5	0.34
91	6	0.13
92	1	1.00
92	2	1.00
92	3	0.90
92	4	0.88
93	1	1.00
93	2	1.00
93	3	1.00
93	4	1.00
93	5	1.00
93	6	0.81
93	7	0.46
94	1	1.00
94	2	1.00
94	3	1.00
94	4	1.00
94	5	1.00
94	6	1.00
94	7	0.94
94	8	0.53
95	1	1.00
95	2	0.22
95	3	0.13
96	1	1.00
96	2	1.00
96	3	0.84
96	4	0.45
97	1	1.00
97	2	1.00
97	3	1.00
97	4	1.00
97	5	1.00
97	6	1.00
97	7	1.00
97	8	1.00
97	9	0.62
97	10	0.35
98	1	1.00
98	2	1.00
98	3	0.13
98	4	0.10
99	1	1.00
99	2	1.00
99	3	1.00
99	4	1.00
99	5	1.00
99	6	1.00
99	7	1.00
99	8	0.02
99	9	0.02
100	1	1.00
100	2	1.00
100	3	1.00
100	4	1.00
100	5	1.00
100	6	1.00
100	7	0.34
100	8	0.12
