p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	1.00
1	5	1.00
1	6	0.03
2	1	1.00
2	2	1.00
2	3	1.00
2	4	1.00
2	5	0.19
3	1	1.00
3	2	0.43
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	0.24
5	1	1.00
5	2	0.59
6	1	1.00
6	2	1.00
6	3	0.85
7	1	1.00
7	2	1.00
7	3	1.00
7	4	1.00
7	5	1.00
7	6	0.03
8	1	1.00
8	2	1.00
8	3	1.00
8	4	0.14
9	1	1.00
9	2	1.00
9	3	1.00
10	1	1.00
10	2	0.29
11	1	1.00
11	2	0.03
12	1	1.00
12	2	1.00
12	3	0.69
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	1.00
13	7	1.00
13	8	0.25
14	1	1.00
14	2	1.00
14	3	0.52
15	1	1.00
15	2	1.00
15	3	1.00
15	4	0.91
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	1.00
16	7	1.00
16	8	1.00
16	9	0.11
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	0.19
18	1	1.00
18	2	1.00
18	3	1.00
18	4	1.00
18	5	1.00
18	6	1.00
18	7	0.48
19	1	1.00
19	2	1.00
19	3	1.00
19	4	1.00
19	5	1.00
19	6	1.00
19	7	1.00
19	8	1.00
19	9	1.00
19	10	1.00
19	11	0.81
20	1	1.00
20	2	1.00
20	3	0.56
21	1	1.00
21	2	1.00
21	3	1.00
21	4	0.59
22	1	1.00
22	2	1.00
22	3	1.00
22	4	0.20
23	1	1.00
23	2	1.00
23	3	1.00
23	4	0.84
24	1	1.00
24	2	1.00
24	3	1.00
24	4	1.00
24	5	1.00
24	6	0.91
25	1	1.00
25	2	0.04
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.97
27	1	1.00
27	2	1.00
27	3	1.00
27	4	1.00
27	5	0.11
28	1	1.00
28	2	1.00
28	3	1.00
28	4	0.90
29	1	1.00
