p	L_p
1	2
2	1
3	1
4	5
5	1
6	4
7	1
8	4
9	1
10	2
11	2
12	4
13	3
14	5
15	5
16	5
17	2
18	1
19	3
20	5
21	2
22	4
23	5
24	2
25	3
26	3
27	3
28	3
29	2
30	5
31	2
32	3
33	7
34	3
35	2
36	2
37	6
38	2
39	8
40	4
41	3
42	4
43	5
44	3
45	6
46	3
47	6
48	10
49	3
50	5
51	3
52	2
53	6
54	7
55	5
56	2
57	3
58	2
59	2
60	2
61	5
62	6
63	10
64	1
65	5
66	2
67	3
68	2
69	6
70	7
71	5
72	6
73	8
74	1
75	6
76	2
77	9
78	4
79	3
80	4
81	3
82	4
83	7
84	4
85	2
86	3
87	7
88	2
89	4
90	2
91	3
92	2
93	9
94	2
95	2
96	4
97	6
98	1
99	2
100	7
101	10
102	5
103	6
104	4
105	2
106	3
107	2
108	10
109	1
110	2
111	8
112	5
113	2
114	6
115	1
116	9
117	4
118	1
119	2
120	8
121	3
122	9
123	7
124	6
125	7
126	8
127	6
128	1
129	1
130	2
131	5
132	10
133	2
134	6
135	3
136	4
137	7
138	8
139	9
140	4
141	3
142	2
143	3
144	10
145	1
146	3
147	1
148	1
149	5
150	5
151	3
152	9
153	3
154	4
155	3
156	10
157	10
158	3
159	5
160	4
161	8
162	2
163	6
164	3
165	9
166	2
167	6
168	10
169	1
170	3
171	7
172	4
173	3
174	3
175	4
176	8
177	10
178	1
179	1
180	4
181	9
182	8
183	4
184	5
185	7
186	5
187	2
188	6
189	1
190	2
191	4
192	9
193	7
194	2
195	3
196	3
197	2
198	6
199	5
200	3
201	3
202	3
203	7
204	7
205	5
206	3
207	2
208	10
209	5
210	1
211	2
212	4
213	8
214	10
215	3
216	2
217	8
218	5
219	4
220	7
221	8
222	3
223	6
224	9
225	3
226	3
227	6
228	4
229	4
230	4
231	3
232	2
233	9
234	2
235	3
236	2
237	2
238	10
239	2
240	7
241	2
242	7
243	10
244	8
245	7
246	3
247	5
248	2
249	3
250	5
251	1
252	2
253	9
254	2
255	2
256	7
257	4
258	10
259	2
260	1
261	2
262	6
263	9
264	1
265	3
266	4
267	10
268	5
269	3
270	3
271	9
272	5
273	8
274	2
275	7
276	3
277	2
278	1
279	4
280	3
281	3
282	2
283	2
284	4
285	8
286	7
287	7
288	3
289	2
290	9
291	3
292	5
293	1
294	6
295	1
296	2
297	3
298	8
299	9
300	6
301	6
302	2
303	3
304	2
305	6
306	1
307	3
308	3
309	4
310	2
311	5
312	8
313	5
314	7
315	3
316	2
317	1
318	2
319	2
320	9
321	6
322	3
323	2
324	3
325	2
326	3
327	4
328	5
329	5
330	4
331	2
332	6
333	7
334	7
335	7
336	1
337	6
338	3
339	2
340	3
341	5
342	2
343	10
344	6
345	2
346	5
347	2
348	3
349	3
350	1
351	4
352	1
353	2
354	3
355	3
356	4
357	5
358	1
359	4
360	2
361	10
362	6
363	2
364	2
365	7
366	3
367	2
368	5
369	4
370	5
371	2
372	2
373	2
374	1
375	3
376	3
377	10
378	9
379	3
380	3
381	1
382	2
383	2
384	4
385	3
386	3
387	4
388	8
389	2
390	10
391	8
392	2
393	6
394	3
395	3
396	5
397	5
398	3
399	2
400	4
401	2
402	2
403	4
404	5
405	3
406	9
407	3
408	10
409	2
410	5
411	1
412	2
413	2
414	2
415	9
416	3
417	4
418	2
419	3
420	1
421	3
422	1
423	8
424	1
425	2
426	7
427	2
428	1
429	4
430	4
431	3
432	2
433	3
434	2
435	7
436	3
437	4
438	3
439	1
440	2
441	7
442	1
443	3
444	2
445	2
446	1
447	7
448	1
449	4
450	5
451	3
452	1
453	4
454	2
455	5
456	2
457	2
458	7
459	10
460	2
461	2
462	3
463	2
464	4
465	3
466	4
467	3
468	5
469	4
470	1
471	4
472	5
473	3
474	4
475	5
476	3
477	2
478	10
479	8
480	9
481	1
482	5
483	4
484	9
485	1
486	1
487	3
488	1
489	3
490	3
491	9
492	3
493	3
494	6
495	1
496	1
497	3
498	3
499	9
500	2
