p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	1.00
1	4	0.45
2	1	1.00
2	2	1.00
2	3	0.69
3	1	1.00
3	2	0.98
4	1	1.00
4	2	0.56
5	1	1.00
5	2	0.69
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	1.00
6	6	0.58
7	1	1.00
7	2	0.02
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	1.00
8	6	0.86
9	1	1.00
9	2	1.00
9	3	0.70
10	1	1.00
10	2	1.00
10	3	1.00
10	4	0.62
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	0.44
12	1	1.00
12	2	1.00
12	3	0.57
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	0.08
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	0.85
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	0.98
16	1	1.00
16	2	0.76
17	1	1.00
17	2	1.00
17	3	1.00
17	4	1.00
17	5	0.14
18	1	1.00
18	2	1.00
18	3	1.00
18	4	0.45
19	1	1.00
19	2	0.22
20	1	1.00
20	2	0.86
21	1	1.00
21	2	1.00
21	3	1.00
21	4	0.05
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	1.00
22	6	0.94
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	0.59
24	1	1.00
24	2	1.00
24	3	1.00
24	4	0.58
25	1	1.00
25	2	1.00
25	3	0.84
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.08
27	1	1.00
27	2	0.81
28	1	1.00
28	2	1.00
28	3	1.00
28	4	1.00
28	5	0.55
29	1	1.00
29	2	0.97
30	1	1.00
30	2	1.00
30	3	1.00
30	4	0.68
31	1	1.00
31	2	1.00
31	3	1.00
31	4	0.30
32	1	1.00
32	2	1.00
32	3	1.00
32	4	1.00
32	5	1.00
32	6	0.60
33	1	1.00
33	2	1.00
33	3	0.65
34	1	1.00
34	2	1.00
34	3	1.00
