p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.85
2	1	1.00
2	2	0.98
3	1	1.00
3	2	0.11
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	1.00
4	6	0.97
5	1	1.00
5	2	0.42
6	1	1.00
6	2	1.00
6	3	1.00
6	4	1.00
6	5	0.17
7	1	1.00
7	2	0.95
8	1	1.00
8	2	1.00
8	3	1.00
8	4	1.00
8	5	0.68
9	1	1.00
9	2	0.73
10	1	1.00
10	2	1.00
10	3	0.86
11	1	1.00
11	2	1.00
11	3	0.27
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	0.82
13	1	1.00
13	2	1.00
13	3	1.00
13	4	0.59
14	1	1.00
14	2	1.00
14	3	1.00
14	4	1.00
14	5	1.00
14	6	0.24
15	1	1.00
15	2	1.00
15	3	1.00
15	4	1.00
15	5	1.00
15	6	0.81
16	1	1.00
16	2	1.00
16	3	1.00
16	4	1.00
16	5	1.00
16	6	0.70
17	1	1.00
17	2	1.00
17	3	0.92
18	1	1.00
18	2	0.36
19	1	1.00
19	2	1.00
19	3	1.00
19	4	0.43
20	1	1.00
20	2	1.00
20	3	1.00
20	4	1.00
20	5	1.00
20	6	0.06
21	1	1.00
21	2	1.00
21	3	0.35
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	0.59
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	0.19
24	1	1.00
24	2	1.00
24	3	0.15
25	1	1.00
25	2	1.00
25	3	1.00
25	4	0.61
26	1	1.00
26	2	1.00
26	3	1.00
26	4	0.81
27	1	1.00
27	2	1.00
27	3	1.00
27	4	0.92
28	1	1.00
28	2	1.00
28	3	1.00
28	4	0.56
29	1	1.00
29	2	1.00
29	3	0.53
30	1	1.00
30	2	1.00
30	3	1.00
30	4	1.00
30	5	1.00
30	6	0.74
31	1	1.00
31	2	1.00
31	3	0.62
32	1	1.00
32	2	1.00
32	3	1.00
32	4	0.83
33	1	1.00
33	2	1.00
