p	ad_min	ad_max
1	0	39
2	0	0
3	0	54
4	0	13
5	0	0
6	0	11
7	0	0
8	0	40
9	0	41
10	0	27
11	0	0
12	0	20
13	0	0
14	0	41
15	0	31
16	0	53
17	0	1
18	0	0
19	0	0
20	0	0
21	0	34
22	0	0
23	0	51
24	0	26
25	0	0
26	0	44
27	0	0
28	0	12
29	0	14
30	0	0
31	0	7
32	0	0
33	0	44
34	0	35
35	0	35
36	0	42
37	0	50
38	0	0
39	0	0
40	0	4
41	0	0
42	0	0
43	0	18
44	0	37
45	0	0
46	0	49
47	0	16
48	0	0
49	0	39
50	0	23
51	4	26
52	1	8
53	40	40
54	33	49
55	54	54
56	44	47
57	8	8
58	38	39
59	53	53
60	39	39
61	7	31
62	35	35
63	14	14
64	17	41
65	13	34
66	3	3
67	36	36
68	33	33
69	55	55
70	24	34
71	11	20
72	1	1
73	20	20
74	50	51
75	6	6
76	28	45
77	6	6
78	55	55
79	19	19
80	52	52
81	39	41
82	14	42
83	47	53
84	16	38
85	37	48
86	22	24
87	11	23
88	26	26
89	15	50
90	19	19
91	32	32
92	55	55
93	45	48
94	42	46
95	14	14
96	2	36
97	38	38
98	7	7
99	21	28
100	15	15
101	3	37
102	44	44
103	34	34
104	12	13
105	29	29
106	5	34
107	28	28
108	4	4
109	19	44
110	10	10
111	2	2
112	10	10
113	3	39
114	20	35
115	0	9
116	21	21
117	4	4
118	52	52
119	53	53
120	38	38
121	31	49
122	47	48
123	13	13
124	20	33
125	5	5
126	12	12
127	50	51
128	22	42
129	27	54
130	2	2
131	16	16
132	21	40
133	35	35
134	20	29
135	35	35
136	45	48
137	9	9
138	20	20
139	13	39
140	15	15
141	55	55
142	51	51
143	51	51
144	3	3
145	48	51
146	43	43
147	26	47
148	34	34
149	48	48
150	11	11
151	51	53
152	47	52
153	36	54
154	11	39
155	22	35
156	51	51
157	48	49
158	17	27
159	33	33
160	1	1
161	26	26
162	30	52
163	11	18
164	51	51
165	38	46
166	55	55
167	50	53
168	46	46
169	13	45
170	7	7
171	12	47
172	32	36
173	29	29
174	36	39
175	16	45
176	12	24
177	14	14
178	10	32
179	52	52
180	38	38
181	33	33
182	41	41
183	31	42
184	8	8
185	4	4
186	1	1
187	2	9
188	50	50
189	1	30
190	0	0
191	3	3
192	44	44
193	8	39
194	20	20
195	3	3
196	16	27
197	51	51
198	43	44
199	52	52
200	26	26
201	4	4
202	27	33
203	16	16
204	4	34
205	38	38
206	38	38
207	13	13
208	45	48
209	13	13
210	54	54
211	16	16
212	9	9
213	40	47
214	1	23
215	23	23
216	22	28
217	37	37
218	8	8
219	30	30
220	23	23
221	38	38
222	46	51
223	27	47
224	40	46
225	28	28
226	44	44
227	11	11
228	44	47
229	50	50
230	23	23
231	4	51
232	36	39
233	31	31
234	50	50
235	46	46
236	27	34
237	19	19
238	16	40
239	52	52
240	27	44
241	51	51
242	32	51
243	22	29
244	24	53
245	37	53
246	8	29
247	36	36
248	39	39
249	23	23
250	14	14
251	21	21
252	50	50
253	7	7
254	52	52
255	7	7
256	42	42
257	39	47
258	42	49
259	7	7
260	2	6
261	43	46
262	46	48
263	52	52
264	31	31
265	16	17
266	15	15
267	3	3
268	6	6
269	50	50
270	27	48
271	31	31
272	46	52
273	41	45
274	32	32
275	32	44
276	36	52
277	47	51
278	23	23
279	28	46
