p	r	R_p
1	1	1
1	2	1
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0
1	8	1
1	9	1
1	10	0
1	11	0
1	12	0
1	13	0
1	14	0
1	15	1
1	16	0
1	17	1
1	18	0
1	19	1
1	20	1
1	21	1
1	22	0
1	23	0
1	24	1
1	25	1
1	26	1
1	27	0
1	28	0
1	29	0
1	30	1
1	31	0
1	32	1
1	33	0
1	34	0
1	35	1
1	36	0
1	37	0
1	38	0
1	39	1
1	40	1
2	1	1
2	2	1
2	3	0
2	4	1
2	5	1
2	6	0
2	7	0
2	8	1
2	9	1
2	10	0
2	11	1
2	12	1
2	13	1
2	14	0
2	15	1
2	16	1
2	17	1
2	18	0
2	19	1
2	20	1
2	21	1
2	22	1
2	23	1
2	24	1
2	25	1
2	26	1
2	27	1
2	28	0
2	29	0
2	30	1
2	31	1
2	32	1
2	33	0
2	34	0
2	35	1
2	36	0
2	37	1
2	38	0
2	39	1
2	40	1
3	1	1
3	2	1
3	3	0
3	4	1
3	5	1
3	6	0
3	7	0
3	8	1
3	9	1
3	10	0
3	11	1
3	12	1
3	13	1
3	14	0
3	15	1
3	16	1
3	17	1
3	18	0
3	19	1
3	20	1
3	21	1
3	22	1
3	23	1
3	24	1
3	25	1
3	26	1
3	27	1
3	28	0
3	29	0
3	30	1
3	31	1
3	32	1
3	33	0
3	34	0
3	35	1
3	36	0
3	37	1
3	38	0
3	39	1
3	40	1
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	1
4	9	0
4	10	1
4	11	1
4	12	1
4	13	0
4	14	0
4	15	0
4	16	0
4	17	1
4	18	1
4	19	1
4	20	1
4	21	0
4	22	0
4	23	1
4	24	1
4	25	0
4	26	0
4	27	1
4	28	1
4	29	0
4	30	1
4	31	0
4	32	1
4	33	1
4	34	1
4	35	0
4	36	1
4	37	1
4	38	0
4	39	0
4	40	1
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	1
5	9	0
5	10	0
5	11	1
5	12	0
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	1
5	20	1
5	21	0
5	22	0
5	23	0
5	24	1
5	25	0
5	26	0
5	27	1
5	28	0
5	29	0
5	30	0
5	31	0
5	32	1
5	33	0
5	34	1
5	35	0
5	36	1
5	37	0
5	38	0
5	39	0
5	40	0
6	1	1
6	2	1
6	3	0
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	1
6	10	0
6	11	0
6	12	0
6	13	0
6	14	0
6	15	1
6	16	0
6	17	1
6	18	0
6	19	1
6	20	1
6	21	1
6	22	0
6	23	0
6	24	1
6	25	1
6	26	1
6	27	0
6	28	0
6	29	0
6	30	1
6	31	0
6	32	1
6	33	0
6	34	0
6	35	1
6	36	0
6	37	0
6	38	0
6	39	1
6	40	1
7	1	1
7	2	1
7	3	0
7	4	0
7	5	0
7	6	0
7	7	0
7	8	1
7	9	1
7	10	0
7	11	0
7	12	0
7	13	0
7	14	0
7	15	1
7	16	0
7	17	1
7	18	0
7	19	1
7	20	1
7	21	1
7	22	0
7	23	0
7	24	1
7	25	1
7	26	1
7	27	0
7	28	0
7	29	0
7	30	1
7	31	0
7	32	1
7	33	0
7	34	0
7	35	1
7	36	0
7	37	0
7	38	0
7	39	1
7	40	1
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	0
8	11	0
8	12	0
8	13	0
8	14	0
8	15	0
8	16	0
8	17	0
8	18	0
