p	d	Pr(p,d)
1	1	1.00
1	2	1.00
1	3	0.43
2	1	1.00
2	2	0.54
3	1	1.00
3	2	0.77
4	1	1.00
4	2	1.00
4	3	1.00
4	4	1.00
4	5	0.22
5	1	1.00
5	2	0.77
6	1	1.00
6	2	1.00
6	3	0.37
7	1	1.00
7	2	0.14
8	1	1.00
8	2	0.49
9	1	1.00
9	2	1.00
9	3	1.00
9	4	1.00
9	5	1.00
9	6	0.10
10	1	1.00
10	2	0.84
11	1	1.00
11	2	1.00
11	3	1.00
11	4	1.00
11	5	1.00
11	6	0.08
12	1	1.00
12	2	1.00
12	3	1.00
12	4	1.00
12	5	0.90
13	1	1.00
13	2	1.00
13	3	1.00
13	4	1.00
13	5	1.00
13	6	0.12
14	1	1.00
14	2	1.00
14	3	0.83
15	1	1.00
15	2	0.24
16	1	1.00
16	2	0.62
17	1	1.00
17	2	1.00
17	3	0.83
18	1	1.00
18	2	1.00
18	3	1.00
18	4	0.76
19	1	1.00
19	2	0.12
20	1	1.00
20	2	0.63
21	1	1.00
21	2	1.00
21	3	0.62
22	1	1.00
22	2	1.00
22	3	1.00
22	4	1.00
22	5	0.19
23	1	1.00
23	2	1.00
23	3	1.00
23	4	1.00
23	5	1.00
23	6	0.73
24	1	1.00
24	2	1.00
24	3	0.95
25	1	1.00
25	2	1.00
25	3	1.00
25	4	1.00
25	5	0.56
26	1	1.00
26	2	1.00
26	3	0.90
27	1	1.00
27	2	1.00
27	3	0.91
28	1	1.00
28	2	1.00
28	3	1.00
28	4	0.86
29	1	1.00
29	2	1.00
29	3	1.00
29	4	1.00
29	5	1.00
29	6	1.00
29	7	1.00
29	8	1.00
29	9	0.59
30	1	1.00
30	2	1.00
30	3	1.00
30	4	0.63
31	1	1.00
31	2	1.00
31	3	1.00
31	4	1.00
31	5	0.50
32	1	1.00
32	2	1.00
32	3	1.00
32	4	1.00
32	5	0.15
33	1	1.00
33	2	1.00
33	3	1.00
33	4	0.65
34	1	1.00
34	2	1.00
34	3	1.00
34	4	0.41
35	1	1.00
